point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,8.0,94;361;7;88;117;30;84;204;,0.0,
1.0,8.0,29;27;87;16;32;19;6;31;,8.0,29;27;87;16;32;19;6;31;
2.0,8.0,89;95;113;245;38;34;35;221;,8.0,89;95;113;245;38;34;35;221;
3.0,8.0,374;360;18;104;119;380;26;384;,8.0,374;360;18;104;119;380;26;384;
4.0,8.0,378;395;22;92;93;399;381;37;,8.0,378;395;22;92;93;399;381;37;
5.0,8.0,20;80;36;116;106;221;83;107;,8.0,20;80;36;116;106;221;83;107;
6.0,8.0,31;19;8;32;14;112;17;205;,8.0,31;19;8;32;14;112;17;205;
7.0,8.0,361;117;0;94;84;88;30;101;,8.0,361;117;0;94;84;88;30;101;
8.0,8.0,14;31;112;17;6;205;102;19;,8.0,14;31;112;17;6;205;102;19;
9.0,8.0,229;100;376;201;236;228;235;237;,8.0,229;100;376;201;236;228;235;237;
10.0,8.0,389;96;213;118;363;385;377;383;,8.0,389;96;213;118;363;385;377;383;
11.0,8.0,372;379;367;12;386;25;391;99;,8.0,372;379;367;12;386;25;391;99;
12.0,8.0,25;391;208;371;379;372;11;367;,8.0,25;391;208;371;379;372;11;367;
13.0,8.0,108;111;206;109;98;390;91;97;,8.0,108;111;206;109;98;390;91;97;
14.0,8.0,8;112;17;31;205;6;102;24;,8.0,8;112;17;31;205;6;102;24;
15.0,8.0,127;85;211;362;364;37;395;378;,8.0,127;85;211;362;364;37;395;378;
16.0,8.0,87;32;27;19;6;31;8;29;,8.0,87;32;27;19;6;31;8;29;
17.0,8.0,112;14;205;8;31;102;24;6;,8.0,112;14;205;8;31;102;24;6;
18.0,8.0,360;374;119;380;3;26;384;104;,8.0,360;374;119;380;3;26;384;104;
19.0,8.0,32;6;16;31;8;14;87;27;,8.0,32;6;16;31;8;14;87;27;
20.0,8.0,5;80;116;36;106;221;83;107;,8.0,5;80;116;36;106;221;83;107;
21.0,8.0,204;30;115;88;90;94;0;384;,8.0,204;30;115;88;90;94;0;384;
22.0,8.0,92;93;4;378;399;381;395;37;,8.0,92;93;4;378;399;381;395;37;
23.0,8.0,257;61;271;51;258;265;242;64;,8.0,257;61;271;51;258;265;242;64;
24.0,8.0,102;205;17;112;38;14;8;31;,8.0,102;205;17;112;38;14;8;31;
25.0,8.0,391;12;208;371;379;372;11;367;,8.0,391;12;208;371;379;372;11;367;
26.0,8.0,380;384;119;90;18;360;374;3;,8.0,380;384;119;90;18;360;374;3;
27.0,8.0,87;16;32;29;19;1;6;31;,8.0,87;16;32;29;19;1;6;31;
28.0,8.0,114;82;110;105;382;91;101;390;,8.0,114;82;110;105;382;91;101;390;
29.0,8.0,1;27;87;16;32;19;6;31;,8.0,1;27;87;16;32;19;6;31;
30.0,8.0,88;204;21;94;0;361;7;117;,8.0,88;204;21;94;0;361;7;117;
31.0,8.0,8;14;6;112;17;205;19;32;,8.0,8;14;6;112;17;205;19;32;
32.0,8.0,19;16;6;87;31;27;8;14;,8.0,19;16;6;87;31;27;8;14;
33.0,8.0,396;97;81;375;109;206;108;13;,8.0,396;97;81;375;109;206;108;13;
34.0,8.0,35;221;106;116;245;95;20;5;,8.0,35;221;106;116;245;95;20;5;
35.0,8.0,34;221;106;116;245;20;95;5;,8.0,34;221;106;116;245;20;95;5;
36.0,8.0,80;83;107;5;20;104;116;3;,8.0,80;83;107;5;20;104;116;3;
37.0,8.0,395;378;4;362;211;85;22;92;,8.0,395;378;4;362;211;85;22;92;
38.0,8.0,113;24;89;102;2;205;95;245;,8.0,113;24;89;102;2;205;95;245;
39.0,8.0,260;65;50;68;262;51;271;263;,8.0,260;65;50;68;262;51;271;263;
40.0,8.0,272;251;316;41;247;282;259;43;,8.0,272;251;316;41;247;282;259;43;
41.0,8.0,316;251;247;272;40;259;43;282;,8.0,316;251;247;272;40;259;43;282;
42.0,8.0,261;244;246;56;269;279;45;264;,8.0,261;244;246;56;269;279;45;264;
43.0,8.0,259;249;277;247;63;41;316;251;,8.0,259;249;277;247;63;41;316;251;
44.0,8.0,266;69;75;312;53;54;77;52;,8.0,266;69;75;312;53;54;77;52;
45.0,8.0,264;250;269;56;243;274;72;241;,8.0,264;250;269;56;243;274;72;241;
46.0,8.0,78;71;275;58;76;255;79;66;,8.0,78;71;275;58;76;255;79;66;
47.0,8.0,67;256;290;317;60;289;305;318;,8.0,67;256;290;317;60;289;305;318;
48.0,8.0,267;79;252;73;253;59;275;71;,8.0,267;79;252;73;253;59;275;71;
49.0,8.0,315;62;54;53;312;69;276;318;,8.0,315;62;54;53;312;69;276;318;
50.0,8.0,65;39;260;51;68;262;271;263;,8.0,65;39;260;51;68;262;271;263;
51.0,8.0,271;50;65;39;23;260;68;257;,8.0,271;50;65;39;23;260;68;257;
52.0,8.0,77;57;74;254;75;70;266;241;,8.0,77;57;74;254;75;70;266;241;
53.0,8.0,54;62;312;315;69;49;44;266;,8.0,54;62;312;315;69;49;44;266;
54.0,8.0,53;62;312;315;69;49;44;266;,8.0,53;62;312;315;69;49;44;266;
55.0,8.0,268;279;63;277;249;246;244;42;,8.0,268;279;63;277;249;246;244;42;
56.0,8.0,269;45;264;250;261;42;243;244;,8.0,269;45;264;250;261;42;243;244;
57.0,8.0,52;77;74;254;70;241;75;72;,8.0,52;77;74;254;70;241;75;72;
58.0,8.0,76;255;66;282;46;78;71;40;,8.0,76;255;66;282;46;78;71;40;
59.0,8.0,253;73;252;270;64;48;267;242;,8.0,253;73;252;270;64;48;267;242;
60.0,8.0,289;318;276;47;67;256;290;317;,8.0,289;318;276;47;67;256;290;317;
61.0,8.0,257;23;258;265;242;271;64;270;,8.0,257;23;258;265;242;271;64;270;
62.0,8.0,315;54;53;312;49;69;44;266;,8.0,315;54;53;312;49;69;44;266;
63.0,8.0,277;249;268;55;43;279;259;246;,8.0,277;249;268;55;43;279;259;246;
64.0,8.0,270;242;265;258;59;253;73;61;,8.0,270;242;265;258;59;253;73;61;
65.0,8.0,50;39;260;51;68;262;271;263;,8.0,50;39;260;51;68;262;271;263;
66.0,8.0,282;255;76;58;40;272;251;316;,8.0,282;255;76;58;40;272;251;316;
67.0,8.0,256;47;290;317;60;289;305;278;,8.0,256;47;290;317;60;289;305;278;
68.0,8.0,262;260;39;65;50;263;240;51;,8.0,262;260;39;65;50;263;240;51;
69.0,8.0,312;44;53;54;266;62;75;315;,8.0,312;44;53;54;266;62;75;315;
70.0,8.0,241;254;72;274;243;250;74;264;,8.0,241;254;72;274;243;250;74;264;
71.0,8.0,78;275;46;79;58;267;76;255;,8.0,78;275;46;79;58;267;76;255;
