point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,20.0,166;194;119;49;40;178;33;41;135;46;115;198;112;170;64;171;19;146;102;125;,0.0,
1.0,20.0,8;15;116;111;29;121;191;84;9;7;165;149;87;90;177;61;71;86;141;58;,20.0,8;15;116;111;29;121;191;84;9;7;165;149;87;90;177;61;71;86;141;58;
2.0,20.0,193;81;31;183;107;28;56;95;20;48;150;195;65;4;69;117;11;45;101;60;,20.0,193;81;31;183;107;28;56;95;20;48;150;195;65;4;69;117;11;45;101;60;
3.0,20.0,190;187;162;174;147;35;132;179;114;101;45;117;85;44;4;65;150;48;95;56;,20.0,190;187;162;174;147;35;132;179;114;101;45;117;85;44;4;65;150;48;95;56;
4.0,20.0,65;117;45;150;101;48;95;132;35;147;56;162;187;3;190;174;31;81;193;2;,20.0,65;117;45;150;101;48;95;132;35;147;56;162;187;3;190;174;31;81;193;2;
5.0,20.0,186;130;63;188;184;16;143;113;93;197;17;74;72;168;145;131;196;79;157;75;,20.0,186;130;63;188;184;16;143;113;93;197;17;74;72;168;145;131;196;79;157;75;
6.0,20.0,38;73;94;99;42;151;83;80;97;59;152;78;120;50;89;13;158;10;144;62;,20.0,38;73;94;99;42;151;83;80;97;59;152;78;120;50;89;13;158;10;144;62;
7.0,20.0,84;191;121;87;90;177;61;116;15;8;1;111;29;141;91;68;9;165;149;156;,20.0,84;191;121;87;90;177;61;116;15;8;1;111;29;141;91;68;9;165;149;156;
8.0,20.0,1;15;116;111;29;121;191;84;7;9;165;149;87;90;177;61;71;86;141;91;,20.0,1;15;116;111;29;121;191;84;7;9;165;149;87;90;177;61;71;86;141;91;
9.0,20.0,165;149;29;111;1;8;71;15;116;86;121;58;39;191;148;84;7;98;153;87;,20.0,165;149;29;111;1;8;71;15;116;86;121;58;39;191;148;84;7;98;153;87;
10.0,20.0,158;144;62;138;169;47;152;105;59;134;192;159;83;151;133;99;94;73;34;6;,20.0,158;144;62;138;169;47;152;105;59;134;192;159;83;151;133;99;94;73;34;6;
11.0,20.0,60;69;123;160;182;82;195;124;20;122;77;54;175;163;57;106;28;107;140;189;,20.0,60;69;123;160;182;82;195;124;20;122;77;54;175;163;57;106;28;107;140;189;
12.0,20.0,199;142;92;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,199;142;92;27;22;172;161;72;74;17;197;113;63;130;186;5;188;184;16;143;
13.0,20.0,89;50;25;120;78;118;97;70;80;42;154;139;38;88;55;66;53;6;14;127;,20.0,89;50;25;120;78;118;97;70;80;42;154;139;38;88;55;66;53;6;14;127;
14.0,20.0,127;37;53;51;66;55;110;76;88;139;164;67;154;30;70;118;25;104;13;109;,20.0,127;37;53;51;66;55;110;76;88;139;164;67;154;30;70;118;25;104;13;109;
15.0,20.0,116;8;1;111;121;29;191;84;7;9;165;149;87;90;177;61;71;141;86;91;,20.0,116;8;1;111;121;29;191;84;7;9;165;149;87;90;177;61;71;141;86;91;
16.0,20.0,184;188;143;93;168;145;5;131;196;79;157;186;75;96;185;21;130;63;137;109;,20.0,184;188;143;93;168;145;5;131;196;79;157;186;75;96;185;21;130;63;137;109;
17.0,20.0,197;74;72;113;63;130;186;5;188;184;161;16;143;172;93;22;168;145;27;131;,20.0,197;74;72;113;63;130;186;5;188;184;161;16;143;172;93;22;168;145;27;131;
18.0,20.0,128;103;136;43;19;171;170;108;26;115;24;32;33;178;49;34;0;166;194;119;,20.0,128;103;136;43;19;171;170;108;26;115;24;32;33;178;49;34;0;166;194;119;
19.0,20.0,171;43;136;170;115;103;128;33;18;178;49;0;166;194;119;108;26;40;24;41;,20.0,171;43;136;170;115;103;128;33;18;178;49;0;166;194;119;108;26;40;24;41;
20.0,20.0,195;28;107;69;11;183;60;2;193;123;81;31;160;182;82;124;122;77;54;175;,20.0,195;28;107;69;11;183;60;2;193;123;81;31;160;182;82;124;122;77;54;175;
21.0,20.0,137;109;185;96;75;157;79;104;196;131;145;168;30;93;67;164;143;76;110;16;,20.0,137;109;185;96;75;157;79;104;196;131;145;168;30;93;67;164;143;76;110;16;
22.0,20.0,172;27;161;142;12;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,172;27;161;142;12;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;
23.0,20.0,156;44;85;68;114;179;91;141;174;190;3;187;162;147;61;35;132;177;101;45;,20.0,156;44;85;68;114;179;91;141;174;190;3;187;162;147;61;35;132;177;101;45;
24.0,20.0,26;108;32;34;18;128;103;136;43;133;19;159;171;192;134;170;115;105;47;33;,20.0,26;108;32;34;18;128;103;136;43;133;19;159;171;192;134;170;115;105;47;33;
25.0,20.0,118;70;13;154;89;50;139;88;55;66;120;78;53;97;14;80;127;42;37;51;,20.0,118;70;13;154;89;50;139;88;55;66;120;78;53;97;14;80;127;42;37;51;
26.0,20.0,108;24;32;18;34;128;103;136;43;19;171;170;133;159;115;192;134;105;33;178;,20.0,108;24;32;18;34;128;103;136;43;19;171;170;133;159;115;192;134;105;33;178;
27.0,20.0,142;22;172;12;161;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;,20.0,142;22;172;12;161;199;92;72;74;17;197;113;63;130;186;5;188;184;16;143;
28.0,20.0,107;183;20;2;193;81;31;195;69;11;56;60;95;123;48;160;182;150;82;124;,20.0,107;183;20;2;193;81;31;195;69;11;56;60;95;123;48;160;182;150;82;124;
29.0,20.0,111;1;8;9;15;116;165;149;121;191;84;7;71;87;86;90;177;58;39;61;,20.0,111;1;8;9;15;116;165;149;121;191;84;7;71;87;86;90;177;58;39;61;
30.0,20.0,67;164;76;110;51;104;37;127;14;109;137;21;53;185;66;55;96;88;139;75;,20.0,67;164;76;110;51;104;37;127;14;109;137;21;53;185;66;55;96;88;139;75;
31.0,20.0,81;193;2;183;107;28;56;95;48;150;20;195;65;4;69;117;45;11;101;60;,20.0,81;193;2;183;107;28;56;95;48;150;20;195;65;4;69;117;45;11;101;60;
32.0,20.0,24;26;108;34;18;133;159;128;192;134;103;105;136;43;47;19;171;170;115;169;,20.0,24;26;108;34;18;133;159;128;192;134;103;105;136;43;47;19;171;170;115;169;
33.0,20.0,178;115;170;49;0;171;166;19;194;119;43;136;40;103;128;41;18;135;46;198;,20.0,178;115;170;49;0;171;166;19;194;119;43;136;40;103;128;41;18;135;46;198;
34.0,20.0,32;24;133;26;159;108;192;134;105;47;18;169;128;138;103;136;43;62;19;144;,20.0,32;24;133;26;159;108;192;134;105;47;18;169;128;138;103;136;43;62;19;144;
35.0,20.0,132;147;101;45;117;162;187;3;190;4;174;65;150;48;95;179;114;56;85;44;,20.0,132;147;101;45;117;162;187;3;190;4;174;65;150;48;95;179;114;56;85;44;
36.0,20.0,176;129;125;102;181;146;180;64;155;112;189;198;46;140;135;106;57;41;163;175;,20.0,176;129;125;102;181;146;180;64;155;112;189;198;46;140;135;106;57;41;163;175;
37.0,20.0,127;51;14;110;76;164;67;53;66;55;88;30;139;154;70;104;118;25;109;137;,20.0,127;51;14;110;76;164;67;53;66;55;88;30;139;154;70;104;118;25;109;137;
38.0,20.0,6;42;80;97;73;78;94;120;99;151;83;50;59;89;152;13;25;158;10;118;,20.0,6;42;80;97;73;78;94;120;99;151;83;50;59;89;152;13;25;158;10;118;
39.0,20.0,58;148;98;86;153;71;167;173;100;149;165;52;9;29;111;126;1;8;15;116;,20.0,58;148;98;86;153;71;167;173;100;149;165;52;9;29;111;126;1;8;15;116;
40.0,20.0,41;119;194;135;166;0;46;49;198;112;64;146;178;102;125;129;33;36;176;181;,20.0,41;119;194;135;166;0;46;49;198;112;64;146;178;102;125;129;33;36;176;181;
41.0,20.0,135;40;46;198;112;119;194;64;166;0;146;102;125;49;129;36;176;181;180;178;,20.0,135;40;46;198;112;119;194;64;166;0;146;102;125;49;129;36;176;181;180;178;
42.0,20.0,80;97;38;78;120;6;50;89;73;13;94;99;151;83;25;59;152;118;70;154;,20.0,80;97;38;78;120;6;50;89;73;13;94;99;151;83;25;59;152;118;70;154;
43.0,20.0,136;19;171;103;170;128;115;18;33;178;49;0;166;108;26;194;119;24;40;32;,20.0,136;19;171;103;170;128;115;18;33;178;49;0;166;108;26;194;119;24;40;32;
44.0,20.0,85;114;179;174;23;190;3;187;162;156;147;35;132;101;45;117;68;4;91;65;,20.0,85;114;179;174;23;190;3;187;162;156;147;35;132;101;45;117;68;4;91;65;
45.0,20.0,101;117;132;35;4;147;65;162;187;150;48;3;190;95;174;56;179;114;85;31;,20.0,101;117;132;35;4;147;65;162;187;150;48;3;190;95;174;56;179;114;85;31;
46.0,20.0,198;112;135;64;41;146;102;125;129;40;36;176;181;180;119;194;166;155;0;189;,20.0,198;112;135;64;41;146;102;125;129;40;36;176;181;180;119;194;166;155;0;189;
47.0,20.0,105;169;134;192;159;133;138;62;144;10;158;34;32;24;26;108;152;59;83;151;,20.0,105;169;134;192;159;133;138;62;144;10;158;34;32;24;26;108;152;59;83;151;
48.0,20.0,150;95;65;56;4;117;45;101;132;35;31;81;193;2;147;162;183;187;3;190;,20.0,150;95;65;56;4;117;45;101;132;35;31;81;193;2;147;162;183;187;3;190;
49.0,20.0,0;166;194;119;178;33;40;41;115;170;135;171;19;46;198;112;43;136;64;146;,20.0,0;166;194;119;178;33;40;41;115;170;135;171;19;46;198;112;43;136;64;146;
50.0,20.0,89;13;120;78;97;80;25;42;118;38;70;154;6;139;88;55;66;73;53;94;,20.0,89;13;120;78;97;80;25;42;118;38;70;154;6;139;88;55;66;73;53;94;
51.0,20.0,110;76;37;164;67;127;14;30;53;66;55;88;139;154;104;70;109;137;118;21;,20.0,110;76;37;164;67;127;14;30;53;66;55;88;139;154;104;70;109;137;118;21;
52.0,20.0,100;173;167;153;126;98;148;39;58;86;71;149;165;9;29;111;1;8;15;116;,20.0,100;173;167;153;126;98;148;39;58;86;71;149;165;9;29;111;1;8;15;116;
53.0,20.0,66;55;14;88;139;127;37;154;51;110;76;70;164;67;118;25;30;13;104;89;,20.0,66;55;14;88;139;127;37;154;51;110;76;70;164;67;118;25;30;13;104;89;
54.0,20.0,77;175;163;57;122;106;124;140;189;82;155;182;160;123;180;181;176;36;60;129;,20.0,77;175;163;57;122;106;124;140;189;82;155;182;160;123;180;181;176;36;60;129;
55.0,20.0,66;88;139;53;154;14;70;127;37;118;51;110;76;25;164;67;30;13;89;50;,20.0,66;88;139;53;154;14;70;127;37;118;51;110;76;25;164;67;30;13;89;50;
56.0,20.0,95;48;150;65;31;81;193;2;4;117;183;45;101;107;28;132;35;147;162;20;,20.0,95;48;150;65;31;81;193;2;4;117;183;45;101;107;28;132;35;147;162;20;
57.0,20.0,163;175;54;77;106;140;122;189;155;124;180;181;82;182;160;176;123;36;129;125;,20.0,163;175;54;77;106;140;122;189;155;124;180;181;82;182;160;176;123;36;129;125;
58.0,20.0,39;148;86;98;153;71;167;173;100;149;165;52;9;29;111;1;8;126;15;116;,20.0,39;148;86;98;153;71;167;173;100;149;165;52;9;29;111;1;8;126;15;116;
59.0,20.0,152;83;151;99;94;73;158;10;6;144;62;38;138;169;42;47;80;105;97;134;,20.0,152;83;151;99;94;73;158;10;6;144;62;38;138;169;42;47;80;105;97;134;
60.0,20.0,11;123;69;160;182;82;124;195;122;20;77;54;175;163;57;106;140;189;28;107;,20.0,11;123;69;160;182;82;124;195;122;20;77;54;175;163;57;106;140;189;28;107;
61.0,20.0,177;90;87;141;7;91;84;191;68;121;156;116;15;8;1;23;111;29;44;85;,20.0,177;90;87;141;7;91;84;191;68;121;156;116;15;8;1;23;111;29;44;85;
62.0,20.0,144;10;138;158;169;47;105;134;192;159;133;152;59;83;151;34;99;94;73;32;,20.0,144;10;138;158;169;47;105;134;192;159;133;152;59;83;151;34;99;94;73;32;
63.0,20.0,130;113;186;197;17;5;74;72;188;184;16;143;93;168;145;131;196;79;157;161;,20.0,130;113;186;197;17;5;74;72;188;184;16;143;93;168;145;131;196;79;157;161;
64.0,20.0,146;112;102;198;125;129;46;36;176;135;181;180;41;155;189;40;140;106;119;194;,20.0,146;112;102;198;125;129;46;36;176;135;181;180;41;155;189;40;140;106;119;194;
65.0,20.0,4;150;48;95;117;45;101;56;132;35;147;162;187;3;31;190;81;193;2;174;,20.0,4;150;48;95;117;45;101;56;132;35;147;162;187;3;31;190;81;193;2;174;
66.0,20.0,55;88;139;53;154;14;70;127;37;118;51;110;76;25;164;67;30;13;89;50;,20.0,55;88;139;53;154;14;70;127;37;118;51;110;76;25;164;67;30;13;89;50;
67.0,20.0,164;76;110;51;30;37;127;14;53;104;66;55;88;139;109;137;154;21;70;185;,20.0,164;76;110;51;30;37;127;14;53;104;66;55;88;139;109;137;154;21;70;185;
68.0,20.0,91;141;156;23;61;177;90;87;44;85;7;114;84;179;191;121;174;190;3;187;,20.0,91;141;156;23;61;177;90;87;44;85;7;114;84;179;191;121;174;190;3;187;
69.0,20.0,11;60;195;123;20;160;182;82;124;122;28;107;77;54;175;163;57;183;106;140;,20.0,11;60;195;123;20;160;182;82;124;122;28;107;77;54;175;163;57;183;106;140;
