point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,10.0,2;8;3;6;11;7;22;18;1;5;,0.0,
1.0,10.0,5;33;4;26;18;22;35;9;7;15;,10.0,5;33;4;26;18;22;35;9;7;15;
2.0,10.0,8;0;3;6;11;7;22;18;1;5;,10.0,8;0;3;6;11;7;22;18;1;5;
3.0,10.0,6;8;11;2;7;0;22;18;1;5;,10.0,6;8;11;2;7;0;22;18;1;5;
4.0,10.0,26;35;33;5;9;1;15;25;29;18;,10.0,26;35;33;5;9;1;15;25;29;18;
5.0,10.0,33;4;26;1;35;9;15;18;22;25;,10.0,33;4;26;1;35;9;15;18;22;25;
6.0,10.0,3;8;11;2;7;22;18;0;1;5;,10.0,3;8;11;2;7;22;18;0;1;5;
7.0,10.0,22;18;11;6;3;1;8;5;33;2;,10.0,22;18;11;6;3;1;8;5;33;2;
8.0,10.0,3;6;2;11;0;7;22;18;1;5;,10.0,3;6;2;11;0;7;22;18;1;5;
9.0,10.0,35;26;4;15;33;5;25;29;1;45;,10.0,35;26;4;15;33;5;25;29;1;45;
10.0,10.0,43;38;48;24;30;12;13;34;23;31;,10.0,43;38;48;24;30;12;13;34;23;31;
11.0,10.0,7;6;3;8;22;18;2;1;0;5;,10.0,7;6;3;8;22;18;2;1;0;5;
12.0,10.0,30;24;13;34;10;20;43;38;48;45;,10.0,30;24;13;34;10;20;43;38;48;45;
13.0,10.0,34;20;45;12;30;24;10;43;38;48;,10.0,34;20;45;12;30;24;10;43;38;48;
14.0,10.0,16;60;52;40;37;27;36;32;28;17;,10.0,16;60;52;40;37;27;36;32;28;17;
15.0,10.0,25;9;29;35;26;4;33;5;45;20;,10.0,25;9;29;35;26;4;33;5;45;20;
16.0,10.0,37;14;32;28;60;52;40;17;27;19;,10.0,37;14;32;28;60;52;40;17;27;19;
17.0,10.0,28;32;19;21;53;37;31;23;16;14;,10.0,28;32;19;21;53;37;31;23;16;14;
18.0,10.0,22;7;1;11;5;33;6;4;26;3;,10.0,22;7;1;11;5;33;6;4;26;3;
19.0,10.0,21;17;53;31;23;28;32;37;48;38;,10.0,21;17;53;31;23;28;32;37;48;38;
20.0,10.0,45;34;13;12;30;24;29;25;10;43;,10.0,45;34;13;12;30;24;29;25;10;43;
21.0,10.0,19;53;17;31;23;28;32;37;48;38;,10.0,19;53;17;31;23;28;32;37;48;38;
22.0,10.0,18;7;1;11;5;33;6;4;26;3;,10.0,18;7;1;11;5;33;6;4;26;3;
23.0,10.0,31;53;21;19;48;38;43;17;10;28;,10.0,31;53;21;19;48;38;43;17;10;28;
24.0,10.0,30;12;10;43;38;48;13;34;20;45;,10.0,30;12;10;43;38;48;13;34;20;45;
25.0,10.0,29;15;45;20;9;34;13;35;26;4;,10.0,29;15;45;20;9;34;13;35;26;4;
26.0,10.0,4;35;33;5;9;1;15;25;29;18;,10.0,4;35;33;5;9;1;15;25;29;18;
27.0,10.0,36;40;52;60;68;65;42;14;16;44;,10.0,36;40;52;60;68;65;42;14;16;44;
28.0,10.0,32;17;37;19;21;16;53;14;31;23;,10.0,32;17;37;19;21;16;53;14;31;23;
29.0,10.0,25;15;45;20;9;34;13;35;26;12;,10.0,25;15;45;20;9;34;13;35;26;12;
30.0,10.0,12;24;13;34;10;43;20;38;48;45;,10.0,12;24;13;34;10;43;20;38;48;45;
31.0,10.0,23;53;21;19;48;38;43;17;10;28;,10.0,23;53;21;19;48;38;43;17;10;28;
32.0,10.0,28;17;37;19;21;16;53;14;31;23;,10.0,28;17;37;19;21;16;53;14;31;23;
33.0,10.0,5;4;26;1;35;9;15;18;22;25;,10.0,5;4;26;1;35;9;15;18;22;25;
34.0,10.0,13;20;45;12;30;24;10;43;38;48;,10.0,13;20;45;12;30;24;10;43;38;48;
35.0,10.0,9;26;4;33;5;15;1;25;29;18;,10.0,9;26;4;33;5;15;1;25;29;18;
36.0,10.0,27;40;68;52;60;65;42;14;44;16;,10.0,27;40;68;52;60;65;42;14;44;16;
37.0,10.0,16;32;28;14;17;60;19;52;21;40;,10.0,16;32;28;14;17;60;19;52;21;40;
38.0,10.0,48;43;10;24;30;12;23;31;53;13;,10.0,48;43;10;24;30;12;23;31;53;13;
39.0,10.0,59;74;50;72;57;62;67;63;54;41;,10.0,59;74;50;72;57;62;67;63;54;41;
40.0,10.0,52;60;27;36;14;16;68;37;65;42;,10.0,52;60;27;36;14;16;68;37;65;42;
41.0,10.0,63;64;62;44;74;59;39;50;42;72;,10.0,63;64;62;44;74;59;39;50;42;72;
42.0,10.0,65;44;68;36;27;64;41;40;52;60;,10.0,65;44;68;36;27;64;41;40;52;60;
43.0,10.0,38;48;10;24;30;12;23;31;13;34;,10.0,38;48;10;24;30;12;23;31;13;34;
44.0,10.0,42;65;64;68;41;63;36;62;27;40;,10.0,42;65;64;68;41;63;36;62;27;40;
45.0,10.0,20;34;13;12;30;29;24;25;10;43;,10.0,20;34;13;12;30;29;24;25;10;43;
46.0,10.0,51;56;69;83;73;47;61;79;58;77;,10.0,51;56;69;83;73;47;61;79;58;77;
47.0,10.0,61;83;69;56;46;51;73;58;79;77;,10.0,61;83;69;56;46;51;73;58;79;77;
48.0,10.0,38;43;10;24;30;12;23;31;53;13;,10.0,38;43;10;24;30;12;23;31;53;13;
49.0,10.0,77;66;79;75;73;70;55;51;46;56;,10.0,77;66;79;75;73;70;55;51;46;56;
50.0,10.0,72;39;57;59;74;67;54;71;62;63;,10.0,72;39;57;59;74;67;54;71;62;63;
51.0,10.0,46;56;69;83;73;47;61;79;58;77;,10.0,46;56;69;83;73;47;61;79;58;77;
52.0,10.0,60;40;14;27;36;16;37;68;65;42;,10.0,60;40;14;27;36;16;37;68;65;42;
53.0,10.0,31;23;21;19;17;28;32;48;38;43;,10.0,31;23;21;19;17;28;32;48;38;43;
54.0,10.0,67;57;71;72;50;55;70;39;59;74;,10.0,67;57;71;72;50;55;70;39;59;74;
