point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,9.0,94;361;7;88;117;30;84;204;21;,9.0,94;361;7;88;117;30;84;204;21;
1.0,9.0,29;27;87;16;32;19;6;31;8;,9.0,29;27;87;16;32;19;6;31;8;
2.0,9.0,89;95;113;245;38;34;35;221;106;,9.0,89;95;113;245;38;34;35;221;106;
3.0,9.0,374;360;18;104;119;380;26;384;90;,9.0,374;360;18;104;119;380;26;384;90;
4.0,9.0,378;395;22;92;93;399;381;37;362;,9.0,378;395;22;92;93;399;381;37;362;
5.0,9.0,20;80;36;116;106;221;83;107;35;,9.0,20;80;36;116;106;221;83;107;35;
6.0,9.0,31;19;8;32;14;112;17;205;16;,9.0,31;19;8;32;14;112;17;205;16;
7.0,9.0,361;117;0;94;84;88;30;101;105;,9.0,361;117;0;94;84;88;30;101;105;
8.0,9.0,14;31;112;17;6;205;102;19;32;,9.0,14;31;112;17;6;205;102;19;32;
9.0,9.0,229;100;376;201;236;228;235;237;215;,9.0,229;100;376;201;236;228;235;237;215;
10.0,9.0,389;96;213;118;363;385;377;383;393;,9.0,389;96;213;118;363;385;377;383;393;
11.0,9.0,372;379;367;12;386;25;391;99;397;,9.0,372;379;367;12;386;25;391;99;397;
12.0,9.0,25;391;208;371;379;372;11;367;394;,9.0,25;391;208;371;379;372;11;367;394;
13.0,9.0,108;111;206;109;98;390;91;97;382;,9.0,108;111;206;109;98;390;91;97;382;
14.0,9.0,8;112;17;31;205;6;102;24;19;,9.0,8;112;17;31;205;6;102;24;19;
15.0,9.0,127;85;211;362;364;37;395;378;4;,9.0,127;85;211;362;364;37;395;378;4;
16.0,9.0,87;32;27;19;6;31;8;29;14;,9.0,87;32;27;19;6;31;8;29;14;
17.0,9.0,112;14;205;8;31;102;24;6;19;,9.0,112;14;205;8;31;102;24;6;19;
18.0,9.0,360;374;119;380;3;26;384;104;90;,9.0,360;374;119;380;3;26;384;104;90;
19.0,9.0,32;6;16;31;8;14;87;27;112;,9.0,32;6;16;31;8;14;87;27;112;
20.0,9.0,5;80;116;36;106;221;83;107;35;,9.0,5;80;116;36;106;221;83;107;35;
21.0,9.0,204;30;115;88;90;94;0;384;26;,9.0,204;30;115;88;90;94;0;384;26;
22.0,9.0,92;93;4;378;399;381;395;37;86;,9.0,92;93;4;378;399;381;395;37;86;
23.0,9.0,257;61;271;51;258;265;242;64;50;,9.0,257;61;271;51;258;265;242;64;50;
24.0,9.0,102;205;17;112;38;14;8;31;6;,9.0,102;205;17;112;38;14;8;31;6;
25.0,9.0,391;12;208;371;379;372;11;367;394;,9.0,391;12;208;371;379;372;11;367;394;
26.0,9.0,380;384;119;90;18;360;374;3;115;,9.0,380;384;119;90;18;360;374;3;115;
27.0,9.0,87;16;32;29;19;1;6;31;8;,9.0,87;16;32;29;19;1;6;31;8;
28.0,9.0,114;82;110;105;382;91;101;390;98;,9.0,114;82;110;105;382;91;101;390;98;
29.0,9.0,1;27;87;16;32;19;6;31;8;,9.0,1;27;87;16;32;19;6;31;8;
30.0,9.0,88;204;21;94;0;361;7;117;115;,9.0,88;204;21;94;0;361;7;117;115;
31.0,9.0,8;14;6;112;17;205;19;32;102;,9.0,8;14;6;112;17;205;19;32;102;
32.0,9.0,19;16;6;87;31;27;8;14;112;,9.0,19;16;6;87;31;27;8;14;112;
33.0,9.0,396;97;81;375;109;206;108;13;111;,9.0,396;97;81;375;109;206;108;13;111;
34.0,9.0,35;221;106;116;245;95;20;5;2;,9.0,35;221;106;116;245;95;20;5;2;
35.0,9.0,34;221;106;116;245;20;95;5;80;,9.0,34;221;106;116;245;20;95;5;80;
36.0,9.0,80;83;107;5;20;104;116;3;106;,9.0,80;83;107;5;20;104;116;3;106;
37.0,9.0,395;378;4;362;211;85;22;92;93;,9.0,395;378;4;362;211;85;22;92;93;
38.0,9.0,113;24;89;102;2;205;95;245;17;,9.0,113;24;89;102;2;205;95;245;17;
39.0,9.0,260;65;50;68;262;51;263;271;240;,9.0,260;65;50;68;262;51;263;271;240;
40.0,9.0,272;251;316;41;247;282;259;43;66;,9.0,272;251;316;41;247;282;259;43;66;
41.0,9.0,316;251;247;272;40;259;43;282;249;,9.0,316;251;247;272;40;259;43;282;249;
42.0,9.0,261;244;246;56;269;279;45;264;250;,9.0,261;244;246;56;269;279;45;264;250;
43.0,9.0,259;249;277;247;63;41;316;251;268;,9.0,259;249;277;247;63;41;316;251;268;
44.0,9.0,266;69;75;312;53;54;77;52;57;,9.0,266;69;75;312;53;54;77;52;57;
45.0,9.0,264;250;269;56;243;274;72;241;70;,9.0,264;250;269;56;243;274;72;241;70;
46.0,9.0,78;71;275;58;76;255;79;66;267;,9.0,78;71;275;58;76;255;79;66;267;
47.0,9.0,67;256;290;317;60;289;305;318;276;,9.0,67;256;290;317;60;289;305;318;276;
48.0,9.0,267;79;252;73;253;59;275;71;78;,9.0,267;79;252;73;253;59;275;71;78;
49.0,9.0,315;62;54;53;312;69;276;318;44;,9.0,315;62;54;53;312;69;276;318;44;
50.0,9.0,65;39;260;51;68;262;271;263;23;,9.0,65;39;260;51;68;262;271;263;23;
51.0,9.0,271;50;65;39;23;260;68;257;61;,9.0,271;50;65;39;23;260;68;257;61;
52.0,9.0,77;57;74;254;75;70;266;241;72;,9.0,77;57;74;254;75;70;266;241;72;
53.0,9.0,54;62;312;315;69;49;44;266;75;,9.0,54;62;312;315;69;49;44;266;75;
54.0,9.0,53;62;312;315;69;49;44;266;75;,9.0,53;62;312;315;69;49;44;266;75;
55.0,9.0,268;279;63;277;249;246;244;42;261;,9.0,268;279;63;277;249;246;244;42;261;
56.0,9.0,269;45;264;250;261;42;243;244;274;,9.0,269;45;264;250;261;42;243;244;274;
57.0,9.0,52;77;74;254;70;241;75;72;274;,9.0,52;77;74;254;70;241;75;72;274;
58.0,9.0,76;255;66;282;46;78;71;40;275;,9.0,76;255;66;282;46;78;71;40;275;
59.0,9.0,253;73;252;270;64;48;267;242;265;,9.0,253;73;252;270;64;48;267;242;265;
60.0,9.0,289;318;276;47;67;256;290;317;49;,9.0,289;318;276;47;67;256;290;317;49;
61.0,9.0,257;23;258;265;242;271;64;270;51;,9.0,257;23;258;265;242;271;64;270;51;
62.0,9.0,315;54;53;312;49;69;44;266;75;,9.0,315;54;53;312;49;69;44;266;75;
63.0,9.0,277;249;268;55;43;279;259;246;244;,9.0,277;249;268;55;43;279;259;246;244;
64.0,9.0,270;242;265;258;59;253;73;61;257;,9.0,270;242;265;258;59;253;73;61;257;
65.0,9.0,50;39;260;51;68;262;271;263;23;,9.0,50;39;260;51;68;262;271;263;23;
66.0,9.0,282;255;76;58;40;272;251;316;41;,9.0,282;255;76;58;40;272;251;316;41;
67.0,9.0,256;47;290;317;60;289;305;278;273;,9.0,256;47;290;317;60;289;305;278;273;
68.0,9.0,262;260;39;65;50;263;240;51;248;,9.0,262;260;39;65;50;263;240;51;248;
69.0,9.0,312;44;53;54;266;62;75;315;77;,9.0,312;44;53;54;266;62;75;315;77;
70.0,9.0,241;254;72;274;243;250;74;264;45;,9.0,241;254;72;274;243;250;74;264;45;
71.0,9.0,78;275;46;79;58;267;76;255;48;,9.0,78;275;46;79;58;267;76;255;48;
72.0,9.0,274;243;241;70;254;250;264;45;74;,9.0,274;243;241;70;254;250;264;45;74;
73.0,9.0,253;59;252;270;48;64;267;242;265;,9.0,253;59;252;270;48;64;267;242;265;
