point_id,|knn_neighbors|,knn_neighbors_id,|rnn_neighbors|,rnn_neighbors_id
0.0,7.0,15;14;16;2;7;1;6;,7.0,15;14;16;2;7;1;6;
1.0,7.0,6;7;2;16;3;14;15;,7.0,6;7;2;16;3;14;15;
2.0,7.0,7;16;14;15;0;1;6;,7.0,7;16;14;15;0;1;6;
3.0,7.0,5;4;6;1;7;2;16;,7.0,5;4;6;1;7;2;16;
4.0,7.0,5;3;6;1;7;2;16;,7.0,5;3;6;1;7;2;16;
5.0,7.0,4;3;6;1;7;2;16;,7.0,4;3;6;1;7;2;16;
6.0,7.0,1;7;3;2;16;14;5;,7.0,1;7;3;2;16;14;5;
7.0,7.0,2;16;14;15;0;1;6;,7.0,2;16;14;15;0;1;6;
8.0,7.0,17;10;20;13;18;0;15;,7.0,17;10;20;13;18;0;15;
9.0,7.0,11;18;19;21;13;20;8;,7.0,11;18;19;21;13;20;8;
10.0,7.0,8;17;20;13;0;15;18;,7.0,8;17;20;13;0;15;18;
11.0,7.0,19;21;9;26;18;27;13;,7.0,19;21;9;26;18;27;13;
12.0,7.0,27;195;22;196;26;25;31;,7.0,27;195;22;196;26;25;31;
13.0,7.0,20;17;8;10;18;9;0;,7.0,20;17;8;10;18;9;0;
14.0,7.0,16;15;2;7;0;1;6;,7.0,16;15;2;7;0;1;6;
15.0,7.0,14;0;16;2;7;1;6;,7.0,14;0;16;2;7;1;6;
16.0,7.0,2;14;7;15;0;1;6;,7.0,2;14;7;15;0;1;6;
17.0,7.0,8;20;13;10;18;0;15;,7.0,8;20;13;10;18;0;15;
18.0,7.0,13;20;17;9;8;10;11;,7.0,13;20;17;9;8;10;11;
19.0,7.0,21;11;26;9;27;18;12;,7.0,21;11;26;9;27;18;12;
20.0,7.0,13;17;8;10;18;9;0;,7.0,13;17;8;10;18;9;0;
21.0,7.0,19;26;11;9;27;12;18;,7.0,19;26;11;9;27;12;18;
22.0,7.0,195;196;25;31;28;12;194;,7.0,195;196;25;31;28;12;194;
23.0,7.0,223;169;24;183;197;29;32;,7.0,223;169;24;183;197;29;32;
24.0,7.0,169;197;29;23;194;223;183;,7.0,169;197;29;23;194;223;183;
25.0,7.0,31;28;196;22;195;194;12;,7.0,31;28;196;22;195;194;12;
