point_id,x,y,point_type,CId,# of distance/similarity calculations
0,539.512024,411.975006,1,1,200
1,542.241028,147.626007,1,1,200
2,653.468994,370.727997,1,1,200
3,598.585999,284.882996,1,1,200
4,573.062988,294.562988,1,1,200
5,139.570007,401.381012,1,1,200
6,228.970001,281.992004,1,1,200
7,305.747009,94.350998,1,1,200
8,610.617004,167.190002,1,1,200
9,500.450012,118.780998,1,1,200
10,341.804993,361.755005,1,1,200
11,128.582993,81.598999,1,1,200
12,39.105,381.265991,1,1,200
13,294.911987,421.480011,1,1,200
14,189.214005,322.730011,1,1,200
15,251.889008,69.384003,1,1,200
16,116.098999,296.382996,1,1,200
17,86.839996,307.89801,1,1,200
18,509.272003,429.165985,1,1,200
19,90.306999,73.486,1,1,200
20,269.270996,163.341995,1,1,200
21,137.112,289.688995,1,1,200
22,63.613998,406.865997,1,1,200
23,224.473007,92.762001,1,1,200
24,345.226013,306.391998,1,1,200
25,188.507996,282.093994,1,1,200
26,531.218994,468.524994,1,1,200
27,47.276001,338.063995,1,1,200
28,543.882019,319.738007,1,1,200
29,379.937988,97.189003,1,1,200
30,84.786003,158.792007,1,1,200
31,542.72998,307.096008,1,1,200
32,430.753998,387.63501,1,1,200
33,578.630005,455.946991,1,1,200
34,374.859009,346.17099,1,1,200
35,185.274002,91.510002,1,1,200
36,561.465027,397.192993,1,1,200
37,164.585999,286.822998,1,1,200
38,131.626999,166.382004,1,1,200
39,377.093994,66.892998,1,1,200
40,386.608002,289.194,1,1,200
41,531.517029,393.152008,1,1,200
42,157.626999,205.548004,1,1,200
43,181.292999,148.632996,1,1,200
44,496.5,219.106995,1,1,200
45,596.487,299.589996,1,1,200
46,545.252991,396.721985,1,1,200
47,388.901001,386.545013,1,1,200
48,512.94397,271.19101,1,1,200
49,589.398987,453.752991,1,1,200
50,310.587006,434.139008,1,1,200
51,228.186005,404.265991,1,1,200
52,506.63501,61.938,1,1,200
53,90.807999,151.570999,1,1,200
54,506.355988,340.463989,1,1,200
55,253.466995,414.664001,1,1,200
56,572.642029,309.684998,1,1,200
57,456.951996,309.30899,1,1,200
58,656.77301,117.589996,1,1,200
59,99.839996,113.858002,1,1,200
60,536.731018,342.661987,1,1,200
61,563.982971,190.306,1,1,200
62,320.544006,334.019012,1,1,200
63,129.748001,415.173004,1,1,200
64,564.97699,405.80899,1,1,200
65,626.16803,325.358002,1,1,200
66,170.098007,278.631989,1,1,200
67,243.063004,441.615997,1,1,200
68,441.855988,166.511993,1,1,200
69,641.458008,402.427002,1,1,200
70,165.677002,258.368011,1,1,200
71,615.776001,123.528999,1,1,200
72,47.348,173.026993,1,1,200
73,286.177002,342.243988,1,1,200
74,42.349998,154.636002,1,1,200
75,163.807999,359.445007,1,1,200
76,148.070007,264.644989,1,1,200
77,473.192993,318.136993,1,1,200
78,110.273003,148.951004,1,1,200
79,154.587997,342.123993,1,1,200
80,216.731003,284.403015,1,1,200
81,188.031006,106.501999,1,1,200
82,626.596985,408.743011,1,1,200
83,145.341003,168.382004,1,1,200
84,617.981018,186.985001,1,1,200
85,223.218002,98.852997,1,1,200
86,646.952026,121.884003,1,1,200
87,613.054993,198.557007,1,1,200
88,217.100006,353.244995,1,1,200
89,238.944,336.570007,1,1,200
90,476.220001,155.419998,1,1,200
91,169.203995,62.771,1,1,200
92,21.128,311.597992,1,1,200
93,75.241997,182.811005,1,1,200
94,353.394989,417.424011,1,1,200
95,129.201004,68.598,1,1,200
96,170.356995,371.300995,1,1,200
97,320.928009,424.826996,1,1,200
98,516.401978,86.344002,1,1,200
99,359.776001,423.584015,1,1,200
100,638.393982,86.559998,1,1,200
101,150.483002,75.369003,1,1,200
102,600.05603,427.462006,1,1,200
103,547.299988,454.506012,1,1,200
104,135.699997,272.295013,1,1,200
105,369.291992,363.919006,1,1,200
106,127.582001,87.001999,1,1,200
107,558.185974,327.880005,1,1,200
108,297.020996,261.791992,1,1,200
109,160.970993,335.471008,1,1,200
110,228.677002,408.656006,1,1,200
111,303.339996,79.885002,1,1,200
112,199.936996,144.559998,1,1,200
113,126.147003,426.477997,1,1,200
114,536.09198,243.266998,1,1,200
115,211.455994,169.444,1,1,200
116,628.419006,173.817001,1,1,200
117,555.273987,280.162994,1,1,200
118,284.822998,433.441986,1,1,200
119,205.843994,156.134995,1,1,200
120,252.940002,342.634003,1,1,200
121,289.777008,85.092003,1,1,200
122,161.942001,107.855003,1,1,200
123,678.869995,439.984985,1,1,200
124,668.520996,441.214996,1,1,200
125,496.812988,353.347992,1,1,200
126,473.494995,40.794998,1,1,200
127,136.164993,234.908997,1,1,200
128,331.536987,277.278992,1,1,200
129,227.753998,161.722,1,1,200
130,29.653999,94.833,1,1,200
131,59.145,134.664993,1,1,200
132,567.411011,281.058014,1,1,200
133,345.661011,333.121002,1,1,200
134,410.20401,399.162994,1,1,200
135,427.972992,313.82901,1,1,200
136,544.440979,446.593994,1,1,200
137,199.862,417.181,1,1,200
138,314.30899,322.428986,1,1,200
139,50.758999,82.452003,1,1,200
140,584.98999,401.860992,1,1,200
141,435.265991,158.348999,1,1,200
142,43.442001,345.700989,1,1,200
143,105.735001,266.322998,1,1,200
144,167.479004,175.306,1,1,200
145,154.638,357.752991,1,1,200
146,390.036987,278.677002,1,1,200
147,590.210022,288.769012,1,1,200
148,639.905029,111.399002,1,1,200
149,606.062988,138.800003,1,1,200
150,561.278015,295.947998,1,1,200
