point_id,x,y,point_type,CId,# of distance/similarity calculations
0,660.976,304.225,1,1,200
1,636.213,306.174,1,1,200
2,662.753,307.565,1,1,200
3,657.487,307.74,1,1,200
4,635.273,308.157,1,1,200
5,640.484,309.592,1,1,200
6,660.523,309.613,1,1,200
7,658.759,312.594,1,1,200
8,674.821,315.093,1,1,200
9,649.17,316.174,1,1,200
10,631.858,316.908,1,1,200
11,673.506,317.648,1,1,200
12,637.439,318.289,1,1,200
13,644.003,320.565,1,1,200
14,622.679,320.843,1,1,200
15,655.504,320.916,1,1,200
16,626.318,321.78,1,1,200
17,633.245,322.492,1,1,200
18,678.36,323.472,1,1,200
19,637.081,323.619,1,1,200
20,653.079,324.434,1,1,200
21,639.035,324.523,1,1,200
22,680.978,324.669,1,1,200
23,644.647,325.905,1,1,200
24,652.268,326.389,1,1,200
25,665.755,327.567,1,1,200
26,675.27,327.608,1,1,200
27,631.213,327.95,1,1,200
28,643.6,328.542,1,1,200
29,668.535,329.06,1,1,200
30,658.985,329.159,1,1,200
31,651.423,329.337,1,1,200
32,646.127,329.862,1,1,200
33,683.672,330.534,1,1,200
34,666.442,331.637,1,1,200
35,682.478,331.858,1,1,200
36,640.783,333.145,1,1,200
37,649.948,333.168,1,1,200
38,663.551,333.265,1,1,200
39,624.463,333.342,1,1,200
40,645.513,334.213,1,1,200
41,632.527,334.935,1,1,200
42,639.959,335.242,1,1,200
43,670.422,336.607,1,1,200
44,647.217,340.107,1,1,200
45,685.94,340.389,1,1,200
46,620.777,341.34,1,1,200
47,618.936,341.409,1,1,200
48,679.985,341.547,1,1,200
49,627.324,341.603,1,1,200
50,639.416,342.035,1,1,200
51,622.928,342.459,1,1,200
52,662.056,342.529,1,1,200
53,676.484,342.75,1,1,200
54,642.366,345.063,1,1,200
55,639.621,345.609,1,1,200
56,630.04,346.568,1,1,200
57,646.7,346.681,1,1,200
58,625.209,346.771,1,1,200
59,650.768,347.282,1,1,200
60,672.056,347.548,1,1,200
61,629.259,347.766,1,1,200
62,654.751,347.881,1,1,200
63,656.628,348.501,1,1,200
64,660.134,348.671,1,1,200
65,667.984,349.415,1,1,200
66,642.738,349.951,1,1,200
67,652.024,349.986,1,1,200
68,671.291,350.525,1,1,200
69,637.791,350.903,1,1,200
70,649.556,351.032,1,1,200
71,654.517,352.398,1,1,200
72,659.838,353.262,1,1,200
73,648.966,356.048,1,1,200
74,669.789,357.397,1,1,200
75,665.373,359.929,1,1,200
76,624.855,360.424,1,1,200
77,662.42,360.72,1,1,200
78,626.761,363.811,1,1,200
79,667.14,364.033,1,1,200
80,637.609,364.503,1,1,200
81,648.763,364.824,1,1,200
82,638.583,365.65,1,1,200
83,666.254,366.738,1,1,200
84,653.469,370.728,1,1,200
85,650.43,371.572,1,1,200
86,661.43,372.276,1,1,200
87,153.879,308.064,1,2,200
88,178.29,308.199,1,2,200
89,166.838,308.485,1,2,200
90,153.41,309.122,1,2,200
91,153.636,309.867,1,2,200
92,148.658,310.898,1,2,200
