point_id,x,y,point_type,CId,# of distance/similarity calculations
0,1.85,27.8,0,-1,240.0
1,1.35,26.65,0,-1,240.0
2,1.4,23.25,0,14,480.0
3,0.85,23.05,0,-1,240.0
4,0.5,22.35,0,14,480.0
5,0.65,21.35,0,14,480.0
6,1.1,22.05,0,14,480.0
7,1.35,22.65,0,14,480.0
8,1.95,22.8,0,14,480.0
9,2.4,22.45,0,14,480.0
10,1.8,22.0,0,14,960.0
11,2.5,21.85,0,14,960.0
12,2.95,21.4,0,14,1680.0
13,1.9,21.25,1,14,240.0
14,1.35,21.45,0,14,720.0
15,1.35,20.9,0,14,720.0
16,1.25,20.35,0,14,960.0
17,1.75,20.05,0,14,1680.0
18,2.0,20.6,0,14,1680.0
19,2.5,21.0,0,14,1440.0
20,1.7,19.05,0,14,1440.0
21,2.4,20.05,1,14,240.0
22,3.05,20.45,1,14,240.0
23,3.7,20.45,0,14,2880.0
24,3.45,19.9,1,14,240.0
25,2.95,19.5,1,14,240.0
26,2.4,19.4,0,14,2400.0
27,2.4,18.25,0,14,2400.0
28,2.85,18.75,1,14,240.0
29,3.25,19.05,1,14,240.0
30,3.95,19.6,1,14,240.0
31,2.7,17.8,0,14,1680.0
32,3.45,18.05,0,14,3120.0
33,3.8,18.55,1,14,240.0
34,4.0,19.1,1,14,240.0
35,4.45,19.9,0,14,3600.0
36,4.65,19.15,1,14,240.0
37,4.85,18.45,1,14,240.0
38,4.3,18.05,1,14,240.0
39,3.35,17.3,0,14,2160.0
40,3.7,16.3,0,14,1440.0
41,4.4,16.95,0,14,3120.0
42,4.25,17.4,1,14,240.0
43,4.8,17.65,1,14,240.0
44,5.25,18.25,1,14,240.0
45,5.75,18.55,1,14,240.0
46,5.3,19.25,1,14,240.0
47,6.05,19.55,0,16,3360.0
48,6.5,18.9,1,14,240.0
49,6.05,18.2,1,14,240.0
50,5.6,17.8,1,14,240.0
51,5.45,17.15,1,14,240.0
52,5.05,16.55,1,14,240.0
53,4.55,16.05,0,14,2400.0
54,4.95,15.45,0,14,1680.0
55,5.85,14.8,0,14,1920.0
56,5.6,15.3,0,14,2640.0
57,5.65,16.0,1,14,240.0
58,5.95,16.8,1,14,240.0
59,6.25,16.4,1,14,240.0
60,6.1,17.45,1,14,240.0
61,6.6,17.65,1,14,240.0
62,6.65,18.3,1,14,240.0
63,7.3,18.35,1,14,240.0
64,7.85,18.3,1,14,240.0
65,7.15,17.8,1,14,240.0
66,7.6,17.7,1,14,240.0
67,6.7,17.25,1,14,240.0
68,7.3,17.25,1,14,240.0
69,6.7,16.8,1,14,240.0
70,7.3,16.65,1,14,240.0
71,6.75,16.3,1,14,240.0
72,7.4,16.2,1,14,240.0
73,6.55,15.75,1,14,240.0
74,7.35,15.8,1,14,240.0
75,6.8,14.95,0,14,3360.0
76,7.45,15.1,1,14,240.0
77,6.85,14.45,0,14,2160.0
78,7.6,14.6,0,14,2160.0
79,8.55,14.65,0,14,2160.0
80,8.2,15.5,1,14,240.0
81,7.9,16.1,1,14,240.0
82,8.05,16.5,1,14,240.0
83,7.8,17.0,1,14,240.0
84,8.0,17.45,1,14,240.0
85,8.4,18.1,1,14,240.0
86,8.65,17.75,1,14,240.0
87,8.9,17.1,1,14,240.0
88,8.4,17.1,1,14,240.0
89,8.65,16.65,1,14,240.0
90,8.45,16.05,1,14,240.0
91,8.85,15.35,0,14,3600.0
92,9.6,15.3,0,14,2160.0
93,9.15,16.0,1,14,240.0
94,10.2,16.0,0,14,2400.0
95,9.5,16.65,1,14,240.0
96,10.75,16.6,0,14,2400.0
97,10.45,17.2,1,14,240.0
98,9.85,17.1,1,14,240.0
99,9.4,17.6,1,14,240.0
100,10.15,17.7,1,14,240.0
101,9.85,18.15,1,14,240.0
102,9.05,18.25,1,14,240.0
103,9.3,18.7,1,14,240.0
104,9.15,19.15,1,14,240.0
105,8.5,18.8,1,14,240.0
106,11.65,17.45,0,14,2160.0
107,11.1,17.65,0,14,3360.0
108,10.4,18.25,1,14,240.0
109,10.0,18.95,1,14,240.0
110,11.95,18.25,0,14,2400.0
111,11.25,18.4,1,14,240.0
