point_id,x,y,point_type,CId,# of distance/similarity calculations
0,9.802,10.132,1,2,599.0
1,10.35,9.768,1,2,599.0
2,10.098,9.988,1,2,599.0
3,9.73,9.91,1,2,599.0
4,9.754,10.43,1,2,599.0
5,9.836,9.902,1,2,599.0
6,10.238,9.866,1,2,599.0
7,9.53,9.862,1,2,599.0
8,10.154,9.82,1,2,599.0
9,9.336,10.456,1,3,599.0
10,9.378,10.21,1,3,599.0
11,9.712,10.264,1,2,599.0
12,9.638,10.208,1,2,599.0
13,9.518,9.956,1,2,599.0
14,10.236,9.91,1,2,599.0
15,9.4,10.086,1,2,599.0
16,10.196,9.746,1,2,599.0
17,10.138,9.828,1,2,599.0
18,10.062,10.26,1,2,599.0
19,10.394,9.984,1,2,599.0
20,10.284,10.348,1,2,599.0
21,9.706,9.978,1,2,599.0
22,9.906,10.588,1,2,599.0
23,10.356,9.198,1,4,599.0
24,9.954,9.704,1,2,599.0
25,9.796,10.378,1,2,599.0
26,10.386,10.608,1,2,599.0
27,10.41,9.912,1,2,599.0
28,10.172,10.598,1,2,599.0
29,10.286,9.712,1,2,599.0
30,9.932,10.234,1,2,599.0
31,10.298,9.948,1,2,599.0
32,10.352,9.932,1,2,599.0
33,9.848,10.328,1,2,599.0
34,10.514,10.498,1,2,599.0
35,9.944,9.934,1,2,599.0
36,9.92,10.022,1,2,599.0
37,9.908,10.606,1,2,599.0
38,10.182,9.99,1,2,599.0
39,10.256,9.25,1,4,599.0
40,12.04,10.028,1,4,599.0
41,12.082,10.044,1,4,599.0
42,12.4,10.156,1,4,599.0
43,11.988,9.926,1,4,599.0
44,12.34,9.918,1,4,599.0
45,12.228,9.978,1,4,599.0
46,12.348,10.488,1,4,599.0
47,12.044,9.358,1,4,599.0
48,11.736,10.122,1,4,599.0
49,12.35,9.798,1,4,599.0
50,11.246,10.122,1,4,599.0
51,12.276,10.99,1,4,599.0
52,12.374,10.018,1,4,599.0
53,12.53,10.0,1,4,599.0
54,12.27,9.792,1,4,599.0
55,12.364,10.176,1,4,599.0
56,12.458,10.18,1,4,599.0
