point_id,x,y,point_type,CId,# of distance/similarity calculations
0,660.976,304.225,1,2,199
1,636.213,306.174,1,2,199
2,662.753,307.565,1,2,199
3,657.487,307.74,1,2,199
4,635.273,308.157,1,2,199
5,640.484,309.592,1,2,199
6,660.523,309.613,1,2,199
7,658.759,312.594,1,2,199
8,674.821,315.093,1,2,199
9,649.17,316.174,1,2,199
10,631.858,316.908,1,2,199
11,673.506,317.648,1,2,199
12,637.439,318.289,1,2,199
13,644.003,320.565,1,2,199
14,622.679,320.843,1,2,199
15,655.504,320.916,1,2,199
16,626.318,321.78,1,2,199
17,633.245,322.492,1,2,199
18,678.36,323.472,1,2,199
19,637.081,323.619,1,2,199
20,653.079,324.434,1,2,199
21,639.035,324.523,1,2,199
22,680.978,324.669,1,2,199
23,644.647,325.905,1,2,199
24,652.268,326.389,1,2,199
25,665.755,327.567,1,2,199
26,675.27,327.608,1,2,199
27,631.213,327.95,1,2,199
28,643.6,328.542,1,2,199
29,668.535,329.06,1,2,199
30,658.985,329.159,1,2,199
31,651.423,329.337,1,2,199
32,646.127,329.862,1,2,199
33,683.672,330.534,1,2,199
34,666.442,331.637,1,2,199
35,682.478,331.858,1,2,199
36,640.783,333.145,1,2,199
37,649.948,333.168,1,2,199
38,663.551,333.265,1,2,199
39,624.463,333.342,1,2,199
40,645.513,334.213,1,2,199
41,632.527,334.935,1,2,199
42,639.959,335.242,1,2,199
43,670.422,336.607,1,2,199
44,647.217,340.107,1,2,199
45,685.94,340.389,1,2,199
46,620.777,341.34,1,2,199
47,618.936,341.409,1,2,199
48,679.985,341.547,1,2,199
49,627.324,341.603,1,2,199
50,639.416,342.035,1,2,199
51,622.928,342.459,1,2,199
52,662.056,342.529,1,2,199
53,676.484,342.75,1,2,199
54,642.366,345.063,1,2,199
55,639.621,345.609,1,2,199
56,630.04,346.568,1,2,199
57,646.7,346.681,1,2,199
58,625.209,346.771,1,2,199
59,650.768,347.282,1,2,199
60,672.056,347.548,1,2,199
61,629.259,347.766,1,2,199
62,654.751,347.881,1,2,199
63,656.628,348.501,1,2,199
64,660.134,348.671,1,2,199
65,667.984,349.415,1,2,199
66,642.738,349.951,1,2,199
67,652.024,349.986,1,2,199
68,671.291,350.525,1,2,199
69,637.791,350.903,1,2,199
70,649.556,351.032,1,2,199
71,654.517,352.398,1,2,199
72,659.838,353.262,1,2,199
73,648.966,356.048,1,2,199
74,669.789,357.397,1,2,199
75,665.373,359.929,1,2,199
76,624.855,360.424,1,2,199
77,662.42,360.72,1,2,199
78,626.761,363.811,1,2,199
79,667.14,364.033,1,2,199
80,637.609,364.503,1,2,199
81,648.763,364.824,1,2,199
82,638.583,365.65,1,2,199
83,666.254,366.738,1,2,199
84,653.469,370.728,1,2,199
85,650.43,371.572,1,2,199
86,661.43,372.276,1,2,199
87,153.879,308.064,1,3,199
88,178.29,308.199,1,3,199
89,166.838,308.485,1,3,199
90,153.41,309.122,1,3,199
91,153.636,309.867,1,3,199
92,148.658,310.898,1,3,199
93,170.83,311.777,1,3,199
94,181.997,312.281,1,3,199
95,151.534,315.214,1,3,199
96,158.234,316.942,1,3,199
97,156.903,318.774,1,3,199
98,131.505,318.993,1,3,199
99,171.829,319.959,1,3,199
100,188.385,321.231,1,3,199
101,175.094,321.902,1,3,199
102,149.332,322.096,1,3,199
103,132.401,322.735,1,3,199
104,150.449,322.89,1,3,199
105,172.762,324.576,1,3,199
106,178.86,324.684,1,3,199
107,129.898,326.107,1,3,199
108,140.855,327.583,1,3,199
109,167.174,328.263,1,3,199
110,163.921,328.34,1,3,199
111,145.897,328.558,1,3,199
112,180.488,328.618,1,3,199
113,125.823,328.684,1,3,199
114,154.945,329.416,1,3,199
115,188.031,330.014,1,3,199
116,174.682,330.318,1,3,199
117,162.439,330.402,1,3,199
118,128.484,330.468,1,3,199
119,156.03,330.695,1,3,199
120,187.152,331.229,1,3,199
121,168.092,331.83,1,3,199
122,129.107,332.022,1,3,199
123,129.6,333.61,1,3,199
124,158.713,334.341,1,3,199
125,169.774,334.662,1,3,199
126,191.52,334.977,1,3,199
127,133.87,335.02,1,3,199
128,160.971,335.471,1,3,199
129,185.668,335.604,1,3,199
130,200.468,335.644,1,3,199
131,164.317,335.97,1,3,199
132,142.494,336.65,1,3,199
133,197.979,337.757,1,3,199
134,192.739,338.016,1,3,199
135,123.22,338.794,1,3,199
136,132.062,338.832,1,3,199
137,184.485,339.211,1,3,199
138,162.725,339.915,1,3,199
139,136.333,340.328,1,3,199
140,167.759,340.476,1,3,199
141,188.627,340.491,1,3,199
142,166.321,342.129,1,3,199
143,159.853,342.331,1,3,199
144,193.875,342.382,1,3,199
145,152.072,342.404,1,3,199
146,197.029,342.743,1,3,199
147,132.796,343.359,1,3,199
148,176.53,343.547,1,3,199
149,179.363,343.574,1,3,199
150,178.037,343.672,1,3,199
151,152.655,345.182,1,3,199
152,165.121,345.513,1,3,199
153,162.034,345.997,1,3,199
154,125.206,346.962,1,3,199
155,171.972,349.879,1,3,199
156,191.181,349.959,1,3,199
157,161.773,350.404,1,3,199
158,168.823,350.884,1,3,199
159,127.327,350.908,1,3,199
160,182.901,351.725,1,3,199
161,183.617,352.579,1,3,199
162,175.568,353.932,1,3,199
163,156.466,354.278,1,3,199
164,159.181,354.447,1,3,199
165,184.109,355.875,1,3,199
166,144.133,356.156,1,3,199
167,163.283,357.159,1,3,199
168,174.195,357.187,1,3,199
169,185.038,359.301,1,3,199
170,146.451,359.416,1,3,199
171,142.978,361.95,1,3,199
172,134.443,361.955,1,3,199
173,194.452,363.123,1,3,199
174,144.727,363.41,1,3,199
175,172.193,364.859,1,3,199
176,142.127,365.116,1,3,199
177,186.492,366.136,1,3,199
178,163.71,366.165,1,3,199
179,154.581,366.177,1,3,199
180,141.478,367.346,1,3,199
181,139.807,367.959,1,3,199
182,147.813,369.185,1,3,199
183,138.191,369.528,1,3,199
184,156.592,370.709,1,3,199
185,138.571,371.407,1,3,199
186,176.65,371.485,1,3,199
187,157.497,371.658,1,3,199
188,183.168,372.223,1,3,199
189,170.311,372.819,1,3,199
190,181.366,373.854,1,3,199
191,151.856,375.167,1,3,199
192,165.883,375.174,1,3,199
193,177.629,375.408,1,3,199
194,155.613,377.032,1,3,199
195,152.479,377.285,1,3,199
196,155.358,377.929,1,3,199
197,179.727,378.364,1,3,199
198,147.366,379.114,1,3,199
199,162.91,380.567,1,3,199
