point_id,x,y,point_type,CId,# of distance/similarity calculations
0,26.75,22.15,1,21,398.0
1,29.8,22.15,1,2,398.0
2,31.55,21.1,1,3,398.0
3,27.7,20.85,1,2,398.0
4,29.9,19.95,1,3,398.0
5,26.8,19.05,1,2,398.0
6,28.35,18.25,1,3,398.0
7,30.4,17.85,1,4,398.0
8,27.25,16.7,1,4,398.0
9,29.05,16.0,1,5,398.0
10,27.15,14.85,1,5,398.0
11,28.2,13.95,1,14,398.0
12,30.35,13.85,1,7,398.0
13,27.25,11.95,1,15,398.0
14,29.45,12.05,1,24,398.0
15,31.55,12.2,1,10,398.0
16,33.05,10.65,1,11,398.0
17,29.95,9.85,1,11,398.0
18,28.0,9.75,1,11,398.0
19,27.15,7.85,1,12,398.0
20,29.15,8.1,1,12,398.0
21,31.95,8.6,1,12,398.0
22,34.7,8.55,1,12,398.0
23,34.8,12.25,1,11,398.0
24,36.3,15.25,1,13,398.0
25,36.6,13.2,1,10,398.0
26,38.7,14.25,1,10,398.0
27,40.3,15.5,1,10,398.0
28,42.25,14.25,1,11,398.0
29,40.7,12.8,1,11,398.0
30,38.6,12.1,1,11,398.0
31,36.1,10.5,1,12,398.0
32,38.35,10.4,1,12,398.0
33,37.65,8.4,1,12,398.0
34,40.15,8.55,1,12,398.0
35,40.8,10.65,1,12,398.0
36,42.9,11.25,1,12,398.0
37,41.95,8.5,1,12,398.0
38,42.45,17.45,1,13,398.0
39,40.25,18.45,1,7,398.0
40,42.55,19.45,1,7,398.0
41,40.95,20.65,1,5,398.0
42,42.25,22.15,1,5,398.0
43,38.85,22.4,1,4,398.0
44,38.4,20.0,1,5,398.0
45,35.25,20.2,1,5,398.0
46,33.25,21.0,1,3,398.0
47,34.15,22.35,1,3,398.0
48,35.55,22.5,1,3,398.0
49,36.55,21.4,1,4,398.0
50,33.35,19.6,1,4,398.0
51,32.85,19.55,1,4,398.0
52,32.4,19.15,1,4,398.0
53,32.45,18.7,1,5,398.0
54,32.8,18.9,1,5,398.0
55,33.2,19.2,1,4,398.0
56,33.7,19.05,1,5,398.0
57,33.4,18.75,1,5,398.0
58,33.05,18.5,1,5,398.0
59,32.8,18.2,1,5,398.0
60,34.0,18.7,1,5,398.0
61,33.85,18.25,1,5,398.0
62,33.35,18.15,1,5,398.0
63,32.8,17.7,1,5,398.0
64,33.15,17.55,1,5,398.0
65,33.75,17.75,1,5,398.0
66,34.15,17.85,1,5,398.0
67,34.35,18.35,1,5,398.0
68,34.95,18.5,1,5,398.0
69,34.75,18.05,1,5,398.0
70,35.15,18.05,1,5,398.0
71,35.65,18.15,1,5,398.0
72,35.45,18.7,1,5,398.0
73,36.05,18.75,1,5,398.0
74,36.25,18.2,1,5,398.0
75,36.6,18.7,1,5,398.0
76,37.1,18.5,1,14,398.0
77,36.75,18.1,1,6,398.0
78,37.65,18.3,1,6,398.0
79,37.15,17.85,1,6,398.0
80,37.65,17.75,1,6,398.0
81,38.05,18.1,1,6,398.0
82,38.45,17.7,1,7,398.0
83,38.8,17.3,1,15,398.0
84,38.2,17.25,1,15,398.0
85,38.6,16.8,1,8,398.0
86,38.25,16.35,1,13,398.0
87,37.9,16.85,1,15,398.0
88,37.5,17.3,1,7,398.0
89,37.65,16.4,1,8,398.0
90,37.15,16.7,1,15,398.0
91,37.0,17.15,1,7,398.0
92,36.6,17.4,1,6,398.0
93,36.15,17.55,1,6,398.0
94,35.75,17.65,1,6,398.0
95,36.6,16.9,1,7,398.0
96,36.05,16.95,1,6,398.0
97,35.45,17.0,1,6,398.0
98,35.3,17.55,1,14,398.0
99,34.9,17.0,1,6,398.0
100,34.75,17.45,1,5,398.0
101,34.3,17.35,1,5,398.0
102,34.3,16.8,1,6,398.0
103,33.9,17.2,1,5,398.0
104,33.35,17.05,1,5,398.0
105,32.85,16.95,1,5,398.0
106,33.55,16.6,1,14,398.0
107,34.0,16.4,1,6,398.0
108,32.45,17.2,1,5,398.0
