point_id,x,y,point_type,CId,# of distance/similarity calculations
0,0.85,17.45,1,2,372.0
1,0.75,15.6,1,2,372.0
2,3.3,15.45,1,2,372.0
3,5.25,14.2,1,2,372.0
4,4.9,15.65,1,2,372.0
5,5.35,15.85,1,2,372.0
6,5.1,17.9,1,2,372.0
7,4.6,18.25,1,2,372.0
8,4.05,18.75,1,2,372.0
9,3.4,19.7,1,2,372.0
10,2.9,21.15,1,2,372.0
11,3.1,21.85,1,2,372.0
12,3.9,21.85,1,2,372.0
13,4.4,20.05,1,2,372.0
14,7.2,14.5,1,2,372.0
15,7.65,16.5,1,2,372.0
16,7.1,18.65,1,2,372.0
17,7.05,19.9,1,2,372.0
18,5.85,20.55,1,2,372.0
19,5.5,21.8,1,2,372.0
20,6.55,21.8,1,2,372.0
21,6.05,22.3,1,2,372.0
22,5.2,23.4,1,2,372.0
23,4.55,23.9,1,2,372.0
24,5.1,24.4,1,2,372.0
25,8.1,26.35,1,2,372.0
26,10.15,27.7,1,2,372.0
27,9.75,25.5,1,2,372.0
28,9.2,21.1,1,2,372.0
29,11.2,22.8,1,2,372.0
30,12.6,23.1,1,2,372.0
31,13.25,23.5,1,2,372.0
32,11.65,26.85,1,2,372.0
33,12.45,27.55,1,2,372.0
34,13.3,27.85,1,2,372.0
35,13.7,27.75,1,2,372.0
36,14.15,26.9,1,2,372.0
37,14.05,26.55,1,2,372.0
38,15.15,24.2,1,2,372.0
39,15.2,24.75,1,2,372.0
40,12.2,20.9,1,2,372.0
41,12.15,21.45,1,2,372.0
42,12.75,22.05,1,2,372.0
43,13.15,21.85,1,2,372.0
44,13.75,22.0,1,2,372.0
45,13.95,22.7,1,2,372.0
46,14.4,22.65,1,2,372.0
47,14.2,22.15,1,2,372.0
48,14.1,21.75,1,2,372.0
49,14.05,21.4,1,2,372.0
50,17.2,24.8,1,2,372.0
51,17.7,24.85,1,2,372.0
52,17.55,25.2,1,2,372.0
53,17.0,26.85,1,2,372.0
54,16.55,27.1,1,2,372.0
55,19.15,25.35,1,2,372.0
56,18.8,24.7,1,2,372.0
57,21.4,25.85,1,2,372.0
58,15.8,21.35,1,2,372.0
59,16.6,21.15,1,2,372.0
60,17.45,20.75,1,2,372.0
61,18.0,20.95,1,2,372.0
62,18.25,20.2,1,2,372.0
63,18.0,22.3,1,2,372.0
64,18.6,22.25,1,2,372.0
65,19.2,21.95,1,2,372.0
66,19.45,22.1,1,2,372.0
67,20.1,21.6,1,2,372.0
68,20.1,20.9,1,2,372.0
69,19.9,20.35,1,2,372.0
70,19.45,19.05,1,2,372.0
71,19.25,18.7,1,2,372.0
72,21.3,22.3,1,2,372.0
73,22.9,23.65,1,2,372.0
74,23.15,24.1,1,2,372.0
75,24.25,22.85,1,2,372.0
76,22.05,20.25,1,2,372.0
77,20.95,18.25,1,2,372.0
78,21.65,17.25,1,2,372.0
79,21.55,16.7,1,2,372.0
80,21.6,16.3,1,2,372.0
81,21.5,15.5,1,2,372.0
82,22.4,16.5,1,2,372.0
83,22.25,18.1,1,2,372.0
84,23.15,19.05,1,2,372.0
85,23.5,19.8,1,2,372.0
86,23.75,20.2,1,2,372.0
87,25.15,19.8,1,2,372.0
88,25.5,19.45,1,2,372.0
89,23.0,18.0,1,2,372.0
90,23.95,17.75,1,2,372.0
91,25.9,17.55,1,3,372.0
92,27.65,15.65,1,3,372.0
93,23.1,14.6,1,3,372.0
94,23.5,15.2,1,3,372.0
95,24.05,14.9,1,3,372.0
96,24.5,14.7,1,3,372.0
97,14.15,17.35,1,2,372.0
98,14.3,16.8,1,2,372.0
99,14.3,15.75,1,2,372.0
100,14.75,15.1,1,2,372.0
101,15.35,15.5,1,2,372.0
102,15.95,16.45,1,2,372.0
103,16.5,17.05,1,2,372.0
104,17.35,17.05,1,2,372.0
105,17.15,16.3,1,2,372.0
106,16.65,16.1,1,2,372.0
107,16.5,15.15,1,2,372.0
108,16.25,14.95,1,2,372.0
109,16.0,14.25,1,2,372.0
110,15.9,13.2,1,2,372.0
111,15.15,12.05,1,2,372.0
112,15.2,11.7,1,2,372.0
113,17.0,15.65,1,2,372.0
114,16.9,15.35,1,2,372.0
115,17.35,15.45,1,2,372.0
116,17.15,15.1,1,2,372.0
117,17.3,14.9,1,2,372.0
118,17.7,15.0,1,2,372.0
119,17.0,14.6,1,2,372.0
120,16.85,14.3,1,2,372.0
121,16.6,14.05,1,2,372.0
122,17.1,14.0,1,2,372.0
123,17.45,14.15,1,2,372.0
124,17.8,14.2,1,2,372.0
125,17.6,13.85,1,2,372.0
126,17.2,13.5,1,2,372.0
127,17.25,13.15,1,2,372.0
128,17.1,12.75,1,2,372.0
129,16.95,12.35,1,2,372.0
130,16.5,12.2,1,2,372.0
131,16.25,12.5,1,2,372.0
132,16.05,11.9,1,2,372.0
133,16.65,10.9,1,3,372.0
134,16.7,11.4,1,3,372.0
135,16.95,11.25,1,3,372.0
136,17.3,11.2,1,3,372.0
137,18.05,11.9,1,3,372.0
138,18.6,12.5,1,3,372.0
139,18.9,12.05,1,3,372.0
140,18.7,11.25,1,3,372.0
141,17.95,10.9,1,3,372.0
142,18.4,10.05,1,3,372.0
143,17.45,10.4,1,3,372.0
144,17.6,10.15,1,3,372.0
145,17.7,9.85,1,3,372.0
146,17.3,9.7,1,3,372.0
147,16.95,9.7,1,3,372.0
148,16.75,9.65,1,3,372.0
149,19.8,9.95,1,3,372.0
