point_id,x,y,point_type,CId,# of distance/similarity calculations
0,539.512024,411.975006,1,2,5
1,542.241028,147.626007,1,2,5
2,653.468994,370.727997,1,2,5
3,598.585999,284.882996,1,2,5
4,573.062988,294.562988,1,2,5
5,139.570007,401.381012,1,3,5
6,228.970001,281.992004,1,3,5
7,305.747009,94.350998,1,2,6
8,610.617004,167.190002,1,2,5
9,500.450012,118.780998,1,2,5
10,341.804993,361.755005,1,4,5
11,128.582993,81.598999,1,2,5
12,39.105,381.265991,1,5,5
13,294.911987,421.480011,1,3,5
14,189.214005,322.730011,1,3,5
15,251.889008,69.384003,1,2,5
16,116.098999,296.382996,1,3,5
17,86.839996,307.89801,1,3,5
18,509.272003,429.165985,1,6,5
19,90.306999,73.486,1,2,5
20,269.270996,163.341995,1,2,5
21,137.112,289.688995,1,3,5
22,63.613998,406.865997,1,5,5
23,224.473007,92.762001,1,2,5
24,345.226013,306.391998,1,6,5
25,188.507996,282.093994,1,3,5
26,531.218994,468.524994,1,6,5
27,47.276001,338.063995,1,5,5
28,543.882019,319.738007,1,2,5
29,379.937988,97.189003,1,2,5
30,84.786003,158.792007,1,3,5
31,542.72998,307.096008,1,2,5
32,430.753998,387.63501,1,6,5
33,578.630005,455.946991,1,2,5
34,374.859009,346.17099,1,6,5
35,185.274002,91.510002,1,2,5
36,561.465027,397.192993,1,2,5
37,164.585999,286.822998,1,3,5
38,131.626999,166.382004,1,3,5
39,377.093994,66.892998,1,2,5
40,386.608002,289.194,1,2,5
41,531.517029,393.152008,1,2,5
42,157.626999,205.548004,1,3,5
43,181.292999,148.632996,1,2,5
44,496.5,219.106995,1,2,5
45,596.487,299.589996,1,2,5
46,545.252991,396.721985,1,2,5
47,388.901001,386.545013,1,4,5
48,512.94397,271.19101,1,2,5
49,589.398987,453.752991,1,2,5
50,310.587006,434.139008,1,3,5
51,228.186005,404.265991,1,3,5
52,506.63501,61.938,1,2,5
53,90.807999,151.570999,1,3,5
54,506.355988,340.463989,1,2,5
55,253.466995,414.664001,1,3,5
56,572.642029,309.684998,1,2,5
57,456.951996,309.30899,1,2,5
58,656.77301,117.589996,1,2,5
59,99.839996,113.858002,1,3,5
60,536.731018,342.661987,1,2,5
61,563.982971,190.306,1,2,5
62,320.544006,334.019012,1,4,5
63,129.748001,415.173004,1,3,5
64,564.97699,405.80899,1,2,5
65,626.16803,325.358002,1,2,5
66,170.098007,278.631989,1,3,5
67,243.063004,441.615997,1,3,5
68,441.855988,166.511993,1,2,5
69,641.458008,402.427002,1,2,5
70,165.677002,258.368011,1,3,5
71,615.776001,123.528999,1,2,5
72,47.348,173.026993,1,3,5
73,286.177002,342.243988,1,3,5
74,42.349998,154.636002,1,3,5
75,163.807999,359.445007,1,3,5
76,148.070007,264.644989,1,3,5
77,473.192993,318.136993,1,2,5
78,110.273003,148.951004,1,3,5
79,154.587997,342.123993,1,3,5
80,216.731003,284.403015,1,3,5
81,188.031006,106.501999,1,2,5
82,626.596985,408.743011,1,2,5
83,145.341003,168.382004,1,3,5
84,617.981018,186.985001,1,2,5
85,223.218002,98.852997,1,2,5
86,646.952026,121.884003,1,2,5
87,613.054993,198.557007,1,2,5
88,217.100006,353.244995,1,3,5
89,238.944,336.570007,1,3,5
90,476.220001,155.419998,1,2,5
91,169.203995,62.771,1,2,5
92,21.128,311.597992,1,5,5
93,75.241997,182.811005,1,3,5
94,353.394989,417.424011,1,3,5
95,129.201004,68.598,1,2,5
96,170.356995,371.300995,1,3,5
97,320.928009,424.826996,1,3,5
98,516.401978,86.344002,1,2,5
99,359.776001,423.584015,1,3,5
100,638.393982,86.559998,1,2,5
101,150.483002,75.369003,1,2,5
102,600.05603,427.462006,1,2,5
103,547.299988,454.506012,1,2,5
104,135.699997,272.295013,1,3,5
105,369.291992,363.919006,1,4,5
106,127.582001,87.001999,1,2,5
107,558.185974,327.880005,1,2,5
108,297.020996,261.791992,1,6,5
109,160.970993,335.471008,1,3,5
110,228.677002,408.656006,1,3,5
111,303.339996,79.885002,1,2,5
112,199.936996,144.559998,1,2,5
113,126.147003,426.477997,1,3,5
114,536.09198,243.266998,1,2,5
115,211.455994,169.444,1,2,5
116,628.419006,173.817001,1,2,5
117,555.273987,280.162994,1,2,5
118,284.822998,433.441986,1,3,5
119,205.843994,156.134995,1,2,5
120,252.940002,342.634003,1,3,5
121,289.777008,85.092003,1,2,5
122,161.942001,107.855003,1,2,5
123,678.869995,439.984985,1,2,5
124,668.520996,441.214996,1,2,5
125,496.812988,353.347992,1,2,5
126,473.494995,40.794998,1,2,5
127,136.164993,234.908997,1,3,5
128,331.536987,277.278992,1,2,5
129,227.753998,161.722,1,2,5
130,29.653999,94.833,1,3,5
131,59.145,134.664993,1,3,5
132,567.411011,281.058014,1,2,5
133,345.661011,333.121002,1,6,5
134,410.20401,399.162994,1,4,5
135,427.972992,313.82901,1,2,5
136,544.440979,446.593994,1,2,5
137,199.862,417.181,1,3,5
138,314.30899,322.428986,1,4,5
139,50.758999,82.452003,1,3,5
140,584.98999,401.860992,1,2,5
141,435.265991,158.348999,1,2,5
142,43.442001,345.700989,1,5,5
143,105.735001,266.322998,1,3,5
144,167.479004,175.306,1,4,5
145,154.638,357.752991,1,3,5
146,390.036987,278.677002,1,2,5
147,590.210022,288.769012,1,2,5
148,639.905029,111.399002,1,2,5
149,606.062988,138.800003,1,2,5
150,561.278015,295.947998,1,2,5
151,318.694,369.30899,1,3,5
152,242.164993,274.343994,1,3,5
153,644.638,102.209999,1,2,5
154,102.455002,162.998001,1,3,5
155,419.838989,290.972992,1,2,5
156,539.109009,215.755005,1,2,5
157,188.621994,417.372986,1,3,5
158,375.708008,399.623993,1,4,5
159,361.789001,349.989014,1,6,5
160,605.15802,394.075012,1,2,5
161,30.992001,171.520996,1,5,5
162,221.783005,106.579002,1,2,5
163,205.268997,138.574005,1,2,5
164,185.667999,335.604004,1,3,5
165,424.294006,97.509003,1,2,5
166,523.036011,399.070007,1,2,5
167,631.953003,90.276001,1,2,5
168,177.535004,415.957001,1,3,5
169,334.993011,339.56601,1,4,5
170,513.419983,414.022003,1,2,5
171,201.416,163.787994,1,2,5
172,75.614998,461.57901,1,5,5
173,645.271973,89.614998,1,2,5
174,503.428986,236.263,1,2,5
175,312.492004,210.246994,1,2,5
176,606.664001,427.973999,1,2,5
177,481.533997,161.421997,1,2,5
178,517.442017,406.076996,1,2,5
179,237.694,108.414001,1,2,5
180,447.132996,312.509003,1,2,5
181,522.184021,366.365997,1,2,5
182,428.716003,279.231995,1,2,5
183,657.953979,380.846008,1,2,5
184,125.621002,323.664001,1,3,5
185,203.886993,440.687012,1,3,5
186,138.916,419.429993,1,3,5
187,530.117004,253.397995,1,2,5
188,162.988007,421.220001,1,3,5
189,423.479004,292.575989,1,2,5
190,525.344971,249.365005,1,2,5
191,445.312012,133.772995,1,2,5
192,52.852001,51.333,1,4,5
193,652.184021,369.588989,1,2,5
194,522.461975,396.860992,1,2,5
195,560.739014,344.040009,1,2,5
196,68.316002,152.404007,1,3,5
197,113.525002,399.234985,1,3,5
198,361.20401,261.708008,1,2,5
199,35.911999,370.350006,1,5,5
