point_id,x,y,point_type,CId,# of distance/similarity calculations
0,660.976,304.225,1,2,8
1,636.213,306.174,1,2,8
2,662.753,307.565,1,2,8
3,657.487,307.74,1,2,8
4,635.273,308.157,1,2,8
5,640.484,309.592,1,2,8
6,660.523,309.613,1,2,8
7,658.759,312.594,1,2,8
8,674.821,315.093,1,2,8
9,649.17,316.174,1,2,8
10,631.858,316.908,1,2,9
11,673.506,317.648,1,2,8
12,637.439,318.289,1,2,8
13,644.003,320.565,1,2,8
14,622.679,320.843,1,2,8
15,655.504,320.916,1,2,8
16,626.318,321.78,1,2,8
17,633.245,322.492,1,2,8
18,678.36,323.472,1,2,8
19,637.081,323.619,1,2,8
20,653.079,324.434,1,2,8
21,639.035,324.523,1,2,8
22,680.978,324.669,1,2,8
23,644.647,325.905,1,2,8
24,652.268,326.389,1,2,8
25,665.755,327.567,1,2,8
26,675.27,327.608,1,2,8
27,631.213,327.95,1,2,8
28,643.6,328.542,1,2,8
29,668.535,329.06,1,2,8
30,658.985,329.159,1,2,8
31,651.423,329.337,1,2,8
32,646.127,329.862,1,2,8
33,683.672,330.534,1,2,8
34,666.442,331.637,1,2,8
35,682.478,331.858,1,2,8
36,640.783,333.145,1,2,8
37,649.948,333.168,1,2,8
38,663.551,333.265,1,2,8
39,624.463,333.342,1,2,8
40,645.513,334.213,1,2,8
41,632.527,334.935,1,2,8
42,639.959,335.242,1,2,8
43,670.422,336.607,1,2,8
44,647.217,340.107,1,2,8
45,685.94,340.389,1,2,8
46,620.777,341.34,1,2,8
47,618.936,341.409,1,3,8
48,679.985,341.547,1,2,8
49,627.324,341.603,1,2,8
50,639.416,342.035,1,2,8
51,622.928,342.459,1,2,8
52,662.056,342.529,1,2,8
53,676.484,342.75,1,2,8
54,642.366,345.063,1,2,8
55,639.621,345.609,1,2,8
56,630.04,346.568,1,2,8
57,646.7,346.681,1,2,8
58,625.209,346.771,1,3,8
59,650.768,347.282,1,2,8
60,672.056,347.548,1,2,8
61,629.259,347.766,1,3,8
62,654.751,347.881,1,2,8
63,656.628,348.501,1,2,8
64,660.134,348.671,1,2,8
65,667.984,349.415,1,2,8
66,642.738,349.951,1,2,8
67,652.024,349.986,1,2,8
68,671.291,350.525,1,2,8
69,637.791,350.903,1,2,8
70,649.556,351.032,1,2,8
71,654.517,352.398,1,2,8
72,659.838,353.262,1,2,8
73,648.966,356.048,1,2,8
74,669.789,357.397,1,2,8
75,665.373,359.929,1,2,8
