,values
name of the input fil,complex9_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.99
minPts,4
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0050071
normalization of vectors [ms],1645269573.154762
Eps-neighborhood timer [ms],15.908514199999995
Clustering timer [ms],16.219977140426636
saving results to OUT time [ms],0.0774548999999999
dist_to_ref_point_time [ms],0.0
total runtime [ms],16.298964023590088
sorting_dist_time [ms],0.0
tiknn_time [ms],0.0
tirnn_time [ms],0.0
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,200.0
|TP|,200
|TN|,0
# of pairs of points,200
RAND,0.010050251256281407
Purity,1.0
Silhouette coefficient,0.9315225813208659
Davies Bouldin,0.09817501513538253
