,values
name of the input fil,lecture_dataset
# of dimensions of a point,2
# of points in the input file,12
epsilon,0.95
minPts,2
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0040763
normalization of vectors [ms],1645269589.375721
Eps-neighborhood timer [ms],0.061087600000000006
Clustering timer [ms],0.07578182220458984
saving results to OUT time [ms],0.0072268
dist_to_ref_point_time [ms],0.0
total runtime [ms],0.08413887023925781
sorting_dist_time [ms],0.0
tiknn_time [ms],0.0
tirnn_time [ms],0.0
# of discovered clusters,12
# of discovered noise points,0
# of discovered core points,11
# of discovered border points,1
avg # of calculations of distance/similarity,13.0
|TP|,1
|TN|,11
# of pairs of points,12
RAND,0.18181818181818182
Purity,0.9166666666666666
Silhouette coefficient,0.7137552071442977
Davies Bouldin,0.30755551343652904
