,values
name of the input fil,cluto-t7-10k_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.999
minPts,4
k,
similarity,cosine dissimilarity
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0053861
normalization of vectors [ms],1645269478.749207
Eps-neighborhood timer [ms],0.0
Clustering timer [ms],22.870190858840942
saving results to OUT time [ms],0.0765292
dist_to_ref_point_time [ms],0.0
total runtime [ms],22.94825506210327
sorting_dist_time [ms],0.0
tiknn_time [ms],22.4891593
tirnn_time [ms],0.2920771
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,199.0
|TP|,
|TN|,
# of pairs of points,200
RAND,
Purity,
Silhouette coefficient,
Davies Bouldin,
