,values
name of the input fil,complex9_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.99
minPts,4
k,
similarity,cosine dissimilarity
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0068136
normalization of vectors [ms],1645269501.711178
Eps-neighborhood timer [ms],0.0
Clustering timer [ms],23.20203185081482
saving results to OUT time [ms],0.0672585
dist_to_ref_point_time [ms],0.0
total runtime [ms],23.270750999450684
sorting_dist_time [ms],0.0
tiknn_time [ms],22.8296828
tirnn_time [ms],0.2834563
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,199.0
|TP|,200
|TN|,0
# of pairs of points,200
RAND,0.010050251256281407
Purity,1.0
Silhouette coefficient,0.9315225813208659
Davies Bouldin,0.09817501513538253
