,values
name of the input fil,cluto-t7-10k_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.999
minPts,4
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0060652
normalization of vectors [ms],1645269234.829589
Eps-neighborhood timer [ms],0.0
Clustering timer [ms],2.2403101921081543
saving results to OUT time [ms],0.0781603
dist_to_ref_point_time [ms],0.0164032
total runtime [ms],2.3200159072875977
sorting_dist_time [ms],0.0464411
tiknn_time [ms],2.2237353
tirnn_time [ms],0.0015886
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,5.005
|TP|,4
|TN|,196
# of pairs of points,200
RAND,0.010050251256281407
Purity,0.49
Silhouette coefficient,-0.04146971147898524
Davies Bouldin,1.7569712996460418
