,values
name of the input fil,complex9_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.99
minPts,4
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],0.0054358
normalization of vectors [ms],1645269237.160172
Eps-neighborhood timer [ms],0.0
Clustering timer [ms],2.534205913543701
saving results to OUT time [ms],0.0764602999999999
dist_to_ref_point_time [ms],0.0164662
total runtime [ms],2.6120290756225586
sorting_dist_time [ms],0.0440233
tiknn_time [ms],2.5205832
tirnn_time [ms],0.0019627
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,8.005
|TP|,76
|TN|,124
# of pairs of points,200
RAND,0.010050251256281407
Purity,1.0
Silhouette coefficient,0.6237878054969854
Davies Bouldin,0.8152914385298096
