point_id,x,y,point_type,CId,# of distance/similarity calculations
0,539.512024,411.975006,1,1,1
1,542.241028,147.626007,1,1,1
2,653.468994,370.727997,1,1,1
3,598.585999,284.882996,1,1,1
4,573.062988,294.562988,1,1,1
5,139.570007,401.381012,1,1,2
6,228.970001,281.992004,1,1,1
7,305.747009,94.350998,1,1,1
8,610.617004,167.190002,1,1,1
9,500.450012,118.780998,1,1,1
10,341.804993,361.755005,1,1,1
11,128.582993,81.598999,1,1,1
12,39.105,381.265991,1,2,2
13,294.911987,421.480011,1,1,1
14,189.214005,322.730011,1,1,1
15,251.889008,69.384003,1,1,1
16,116.098999,296.382996,1,1,1
17,86.839996,307.89801,1,1,1
18,509.272003,429.165985,1,1,1
19,90.306999,73.486,1,1,1
20,269.270996,163.341995,1,1,1
21,137.112,289.688995,1,1,1
22,63.613998,406.865997,1,2,1
23,224.473007,92.762001,1,1,1
24,345.226013,306.391998,1,1,1
25,188.507996,282.093994,1,1,1
26,531.218994,468.524994,1,1,1
27,47.276001,338.063995,1,2,1
28,543.882019,319.738007,1,1,1
29,379.937988,97.189003,1,1,1
30,84.786003,158.792007,1,1,1
31,542.72998,307.096008,1,1,1
32,430.753998,387.63501,1,1,1
33,578.630005,455.946991,1,1,1
34,374.859009,346.17099,1,1,1
35,185.274002,91.510002,1,1,1
36,561.465027,397.192993,1,1,1
37,164.585999,286.822998,1,1,1
38,131.626999,166.382004,1,1,1
39,377.093994,66.892998,1,1,1
40,386.608002,289.194,1,1,1
41,531.517029,393.152008,1,1,1
42,157.626999,205.548004,1,1,2
43,181.292999,148.632996,1,1,1
44,496.5,219.106995,1,1,1
45,596.487,299.589996,1,1,1
46,545.252991,396.721985,1,1,1
47,388.901001,386.545013,1,1,1
48,512.94397,271.19101,1,1,1
49,589.398987,453.752991,1,1,1
50,310.587006,434.139008,1,1,1
51,228.186005,404.265991,1,1,1
52,506.63501,61.938,1,1,2
53,90.807999,151.570999,1,1,1
54,506.355988,340.463989,1,1,1
55,253.466995,414.664001,1,1,1
56,572.642029,309.684998,1,1,1
57,456.951996,309.30899,1,1,1
58,656.77301,117.589996,1,1,1
59,99.839996,113.858002,1,1,1
60,536.731018,342.661987,1,1,1
61,563.982971,190.306,1,1,1
62,320.544006,334.019012,1,1,1
63,129.748001,415.173004,1,1,1
64,564.97699,405.80899,1,1,1
65,626.16803,325.358002,1,1,1
66,170.098007,278.631989,1,1,1
67,243.063004,441.615997,1,1,1
68,441.855988,166.511993,1,1,1
69,641.458008,402.427002,1,1,1
70,165.677002,258.368011,1,1,1
71,615.776001,123.528999,1,1,1
72,47.348,173.026993,1,1,1
73,286.177002,342.243988,1,1,1
74,42.349998,154.636002,1,1,1
75,163.807999,359.445007,1,1,1
76,148.070007,264.644989,1,1,1
77,473.192993,318.136993,1,1,1
78,110.273003,148.951004,1,1,1
79,154.587997,342.123993,1,1,1
80,216.731003,284.403015,1,1,1
81,188.031006,106.501999,1,1,1
82,626.596985,408.743011,1,1,1
83,145.341003,168.382004,1,1,1
84,617.981018,186.985001,1,1,1
85,223.218002,98.852997,1,1,1
86,646.952026,121.884003,1,1,2
87,613.054993,198.557007,1,1,1
88,217.100006,353.244995,1,1,1
89,238.944,336.570007,1,1,2
90,476.220001,155.419998,1,1,1
91,169.203995,62.771,1,1,1
93,75.241997,182.811005,1,1,1
94,353.394989,417.424011,1,1,1
95,129.201004,68.598,1,1,1
96,170.356995,371.300995,1,1,1
97,320.928009,424.826996,1,1,1
98,516.401978,86.344002,1,1,1
99,359.776001,423.584015,1,1,1
100,638.393982,86.559998,1,1,1
101,150.483002,75.369003,1,1,1
102,600.05603,427.462006,1,1,1
103,547.299988,454.506012,1,1,1
104,135.699997,272.295013,1,1,2
105,369.291992,363.919006,1,1,1
106,127.582001,87.001999,1,1,1
107,558.185974,327.880005,1,1,1
108,297.020996,261.791992,1,1,1
109,160.970993,335.471008,1,1,1
110,228.677002,408.656006,1,1,1
111,303.339996,79.885002,1,1,1
112,199.936996,144.559998,1,1,1
113,126.147003,426.477997,1,1,1
114,536.09198,243.266998,1,1,1
115,211.455994,169.444,1,1,1
116,628.419006,173.817001,1,1,2
117,555.273987,280.162994,1,1,1
118,284.822998,433.441986,1,1,1
119,205.843994,156.134995,1,1,1
121,289.777008,85.092003,1,1,1
122,161.942001,107.855003,1,1,1
123,678.869995,439.984985,1,1,1
124,668.520996,441.214996,1,1,1
125,496.812988,353.347992,1,1,1
127,136.164993,234.908997,1,1,1
128,331.536987,277.278992,1,1,1
129,227.753998,161.722,1,1,1
130,29.653999,94.833,1,1,1
131,59.145,134.664993,1,1,1
132,567.411011,281.058014,1,1,1
133,345.661011,333.121002,1,1,2
134,410.20401,399.162994,1,1,1
135,427.972992,313.82901,1,1,1
136,544.440979,446.593994,1,1,1
137,199.862,417.181,1,1,1
138,314.30899,322.428986,1,1,1
139,50.758999,82.452003,1,1,1
140,584.98999,401.860992,1,1,1
141,435.265991,158.348999,1,1,2
142,43.442001,345.700989,1,2,2
143,105.735001,266.322998,1,1,1
144,167.479004,175.306,1,1,1
145,154.638,357.752991,1,1,1
146,390.036987,278.677002,1,1,1
147,590.210022,288.769012,1,1,1
148,639.905029,111.399002,1,1,1
149,606.062988,138.800003,1,1,1
150,561.278015,295.947998,1,1,2
151,318.694,369.30899,1,1,1
152,242.164993,274.343994,1,1,1
153,644.638,102.209999,1,1,1
155,419.838989,290.972992,1,1,1
156,539.109009,215.755005,1,1,1
157,188.621994,417.372986,1,1,1
158,375.708008,399.623993,1,1,1
159,361.789001,349.989014,1,1,1
160,605.15802,394.075012,1,1,1
162,221.783005,106.579002,1,1,1
163,205.268997,138.574005,1,1,1
164,185.667999,335.604004,1,1,1
166,523.036011,399.070007,1,1,1
167,631.953003,90.276001,1,1,1
168,177.535004,415.957001,1,1,2
169,334.993011,339.56601,1,1,1
170,513.419983,414.022003,1,1,1
171,201.416,163.787994,1,1,1
172,75.614998,461.57901,1,2,1
174,503.428986,236.263,1,1,1
175,312.492004,210.246994,1,1,1
176,606.664001,427.973999,1,1,1
177,481.533997,161.421997,1,1,1
178,517.442017,406.076996,1,1,1
179,237.694,108.414001,1,1,1
180,447.132996,312.509003,1,1,1
181,522.184021,366.365997,1,1,1
182,428.716003,279.231995,1,1,1
183,657.953979,380.846008,1,1,1
184,125.621002,323.664001,1,1,1
185,203.886993,440.687012,1,1,1
186,138.916,419.429993,1,1,1
187,530.117004,253.397995,1,1,1
189,423.479004,292.575989,1,1,1
193,652.184021,369.588989,1,1,1
195,560.739014,344.040009,1,1,1
198,361.20401,261.708008,1,1,1
199,35.911999,370.350006,1,2,1
