point_id,x,y,point_type,CId,# of distance/similarity calculations
0,660.976,304.225,1,1,1
1,636.213,306.174,1,1,1
2,662.753,307.565,1,1,1
3,657.487,307.74,1,1,1
4,635.273,308.157,1,1,1
5,640.484,309.592,1,1,1
6,660.523,309.613,1,1,1
7,658.759,312.594,1,1,1
8,674.821,315.093,1,1,1
9,649.17,316.174,1,1,1
10,631.858,316.908,1,1,1
11,673.506,317.648,1,1,1
12,637.439,318.289,1,1,1
13,644.003,320.565,1,1,1
14,622.679,320.843,1,1,1
15,655.504,320.916,1,1,1
16,626.318,321.78,1,1,1
17,633.245,322.492,1,1,1
18,678.36,323.472,1,1,1
19,637.081,323.619,1,1,1
20,653.079,324.434,1,1,1
21,639.035,324.523,1,1,1
22,680.978,324.669,1,1,1
23,644.647,325.905,1,1,1
24,652.268,326.389,1,1,1
25,665.755,327.567,1,1,1
26,675.27,327.608,1,1,1
27,631.213,327.95,1,1,1
28,643.6,328.542,1,1,1
29,668.535,329.06,1,1,1
30,658.985,329.159,1,1,1
31,651.423,329.337,1,1,1
32,646.127,329.862,1,1,1
33,683.672,330.534,1,1,1
34,666.442,331.637,1,1,1
35,682.478,331.858,1,1,1
36,640.783,333.145,1,1,1
37,649.948,333.168,1,1,1
38,663.551,333.265,1,1,1
39,624.463,333.342,1,1,1
40,645.513,334.213,1,1,1
41,632.527,334.935,1,1,1
42,639.959,335.242,1,1,1
43,670.422,336.607,1,1,1
44,647.217,340.107,1,1,1
45,685.94,340.389,1,1,1
46,620.777,341.34,1,1,1
47,618.936,341.409,1,1,1
48,679.985,341.547,1,1,1
49,627.324,341.603,1,1,1
50,639.416,342.035,1,1,1
51,622.928,342.459,1,1,1
52,662.056,342.529,1,1,1
53,676.484,342.75,1,1,1
54,642.366,345.063,1,1,1
55,639.621,345.609,1,1,1
56,630.04,346.568,1,1,1
57,646.7,346.681,1,1,1
58,625.209,346.771,1,1,1
59,650.768,347.282,1,1,1
60,672.056,347.548,1,1,1
61,629.259,347.766,1,1,1
62,654.751,347.881,1,1,1
63,656.628,348.501,1,1,1
64,660.134,348.671,1,1,1
65,667.984,349.415,1,1,1
66,642.738,349.951,1,1,1
67,652.024,349.986,1,1,1
68,671.291,350.525,1,1,1
69,637.791,350.903,1,1,1
70,649.556,351.032,1,1,1
71,654.517,352.398,1,1,1
72,659.838,353.262,1,1,1
73,648.966,356.048,1,1,1
74,669.789,357.397,1,1,1
75,665.373,359.929,1,1,1
76,624.855,360.424,1,1,1
77,662.42,360.72,1,1,1
78,626.761,363.811,1,1,1
79,667.14,364.033,1,1,1
80,637.609,364.503,1,1,1
81,648.763,364.824,1,1,1
82,638.583,365.65,1,1,1
83,666.254,366.738,1,1,1
84,653.469,370.728,1,1,1
85,650.43,371.572,1,1,1
87,153.879,308.064,1,2,1
88,178.29,308.199,1,2,1
89,166.838,308.485,1,2,1
90,153.41,309.122,1,2,1
91,153.636,309.867,1,2,1
92,148.658,310.898,1,2,1
93,170.83,311.777,1,2,1
94,181.997,312.281,1,2,1
95,151.534,315.214,1,2,1
96,158.234,316.942,1,2,1
97,156.903,318.774,1,2,1
98,131.505,318.993,1,2,1
99,171.829,319.959,1,2,1
100,188.385,321.231,1,2,1
101,175.094,321.902,1,2,1
102,149.332,322.096,1,2,1
103,132.401,322.735,1,2,1
104,150.449,322.89,1,2,1
105,172.762,324.576,1,2,1
106,178.86,324.684,1,2,1
107,129.898,326.107,1,2,1
108,140.855,327.583,1,2,1
109,167.174,328.263,1,2,1
110,163.921,328.34,1,2,1
111,145.897,328.558,1,2,1
112,180.488,328.618,1,2,1
113,125.823,328.684,1,2,1
114,154.945,329.416,1,2,1
115,188.031,330.014,1,2,1
116,174.682,330.318,1,2,1
117,162.439,330.402,1,2,1
118,128.484,330.468,1,2,1
119,156.03,330.695,1,2,1
120,187.152,331.229,1,2,1
121,168.092,331.83,1,2,1
122,129.107,332.022,1,2,1
123,129.6,333.61,1,2,1
124,158.713,334.341,1,2,1
125,169.774,334.662,1,2,1
126,191.52,334.977,1,2,1
127,133.87,335.02,1,2,1
128,160.971,335.471,1,2,1
129,185.668,335.604,1,2,1
130,200.468,335.644,1,2,1
131,164.317,335.97,1,2,1
132,142.494,336.65,1,2,1
133,197.979,337.757,1,2,1
134,192.739,338.016,1,2,1
135,123.22,338.794,1,2,1
136,132.062,338.832,1,2,1
137,184.485,339.211,1,2,1
138,162.725,339.915,1,2,1
139,136.333,340.328,1,2,1
140,167.759,340.476,1,2,1
141,188.627,340.491,1,2,1
142,166.321,342.129,1,2,1
143,159.853,342.331,1,2,1
144,193.875,342.382,1,2,1
145,152.072,342.404,1,2,1
146,197.029,342.743,1,2,1
147,132.796,343.359,1,2,1
148,176.53,343.547,1,2,1
149,179.363,343.574,1,2,1
150,178.037,343.672,1,2,1
151,152.655,345.182,1,2,1
152,165.121,345.513,1,2,1
153,162.034,345.997,1,2,1
154,125.206,346.962,1,2,1
155,171.972,349.879,1,2,1
156,191.181,349.959,1,2,1
157,161.773,350.404,1,2,1
158,168.823,350.884,1,2,1
159,127.327,350.908,1,2,1
160,182.901,351.725,1,2,1
161,183.617,352.579,1,2,1
162,175.568,353.932,1,2,1
163,156.466,354.278,1,2,1
164,159.181,354.447,1,2,1
165,184.109,355.875,1,2,1
166,144.133,356.156,1,2,1
167,163.283,357.159,1,2,1
168,174.195,357.187,1,2,1
169,185.038,359.301,1,2,1
170,146.451,359.416,1,2,1
171,142.978,361.95,1,2,1
172,134.443,361.955,1,2,1
173,194.452,363.123,1,2,1
174,144.727,363.41,1,2,1
175,172.193,364.859,1,2,1
176,142.127,365.116,1,2,1
177,186.492,366.136,1,2,1
178,163.71,366.165,1,2,1
179,154.581,366.177,1,2,1
180,141.478,367.346,1,2,1
181,139.807,367.959,1,2,1
182,147.813,369.185,1,2,1
183,138.191,369.528,1,2,1
184,156.592,370.709,1,2,1
185,138.571,371.407,1,2,1
186,176.65,371.485,1,2,1
187,157.497,371.658,1,2,1
188,183.168,372.223,1,2,1
189,170.311,372.819,1,2,1
190,181.366,373.854,1,2,1
191,151.856,375.167,1,2,1
192,165.883,375.174,1,2,1
193,177.629,375.408,1,2,1
194,155.613,377.032,1,2,1
195,152.479,377.285,1,2,1
196,155.358,377.929,1,2,1
197,179.727,378.364,1,2,1
198,147.366,379.114,1,2,1
