point_id,x,y,point_type,CId,# of distance/similarity calculations
0,539.512024,411.975006,1,27,25
1,542.241028,147.626007,1,2,26
2,653.468994,370.727997,1,5,23
3,598.585999,284.882996,1,5,21
4,573.062988,294.562988,1,5,21
5,139.570007,401.381012,1,18,20
6,228.970001,281.992004,1,40,20
7,305.747009,94.350998,1,2,22
8,610.617004,167.190002,1,2,26
9,500.450012,118.780998,1,2,26
10,341.804993,361.755005,1,40,21
11,128.582993,81.598999,1,27,22
12,39.105,381.265991,1,18,20
13,294.911987,421.480011,1,18,21
14,189.214005,322.730011,1,18,21
15,251.889008,69.384003,1,2,25
16,116.098999,296.382996,1,18,20
17,86.839996,307.89801,1,18,20
18,509.272003,429.165985,1,27,20
19,90.306999,73.486,1,27,22
20,269.270996,163.341995,1,5,24
21,137.112,289.688995,1,18,20
22,63.613998,406.865997,1,18,20
23,224.473007,92.762001,1,5,24
24,345.226013,306.391998,1,27,21
25,188.507996,282.093994,1,18,20
26,531.218994,468.524994,1,27,21
27,47.276001,338.063995,1,18,20
28,543.882019,319.738007,1,5,23
29,379.937988,97.189003,1,2,23
30,84.786003,158.792007,1,18,20
31,542.72998,307.096008,1,5,24
32,430.753998,387.63501,1,27,21
33,578.630005,455.946991,1,27,22
34,374.859009,346.17099,1,27,22
35,185.274002,91.510002,1,5,20
36,561.465027,397.192993,1,27,22
37,164.585999,286.822998,1,18,20
38,131.626999,166.382004,1,40,21
39,377.093994,66.892998,1,2,23
40,386.608002,289.194,1,27,22
41,531.517029,393.152008,1,27,22
42,157.626999,205.548004,1,40,20
43,181.292999,148.632996,1,27,21
44,496.5,219.106995,1,5,24
45,596.487,299.589996,1,5,24
46,545.252991,396.721985,1,27,22
47,388.901001,386.545013,1,40,21
48,512.94397,271.19101,1,5,23
49,589.398987,453.752991,1,27,24
50,310.587006,434.139008,1,18,21
51,228.186005,404.265991,1,18,20
52,506.63501,61.938,1,2,24
53,90.807999,151.570999,1,18,20
54,506.355988,340.463989,1,27,24
55,253.466995,414.664001,1,18,20
56,572.642029,309.684998,1,5,25
57,456.951996,309.30899,1,27,22
58,656.77301,117.589996,1,2,23
59,99.839996,113.858002,1,40,24
60,536.731018,342.661987,1,27,22
