,values
name of the input fil,complex9_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.99
minPts,4
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],2.5000572204589844
normalization of vectors [ms],954.706907
Eps-neighborhood timer [ms],84.66887474060059
Clustering timer [ms],-112.58578299999999
saving results to OUT time [ms],3.952503204345703
dist_to_ref_point_time [ms],0.0
total runtime [ms],-111.85050000000001
sorting_dist_time [ms],0.0
tiknn_time [ms],0.0
tirnn_time [ms],0.0
# of discovered clusters,198
# of discovered noise points,0
# of discovered core points,198
# of discovered border points,0
avg # of calculations of distance/similarity,1.0
|TP|,200
|TN|,0
# of pairs of points,200
RAND,0.010050251256281407
Purity,1.0
Silhouette coefficient,0.9315225813208659
Davies Bouldin,0.09817501513538301
