,values
name of the input fil,cluto-t7-10k_sample
# of dimensions of a point,2
# of points in the input file,200
epsilon,0.999
minPts,4
k,
similarity,euclidean distance
values of dimensions of a reference point,"[0,1]"
reading the input file [ms],2.132415771484375
normalization of vectors [ms],357.706547
Eps-neighborhood timer [ms],0.0
Clustering timer [ms],-222.964764
saving results to OUT time [ms],3.90934944152832
dist_to_ref_point_time [ms],3746.5176582336426
total runtime [ms],-221.313715
sorting_dist_time [ms],51.49245262145996
tiknn_time [ms],0.0
tirnn_time [ms],845.1361656188965
# of discovered clusters,200
# of discovered noise points,0
# of discovered core points,200
# of discovered border points,0
avg # of calculations of distance/similarity,22.175
|TP|,6
|TN|,194
# of pairs of points,200
RAND,0.010050251256281407
Purity,0.465
Silhouette coefficient,0.13064308816386783
Davies Bouldin,2.7424948977857144
